#x	Curve1
186.044	9.63195E-23
188.22	8.13632E-23
190.421	6.87293E-23
192.649	5.9156E-23
197.181	4.99704E-23
201.821	4.22111E-23
204.181	3.56566E-23
206.569	3.01199E-23
211.43	2.59245E-23
216.404	2.14923E-23
221.496	1.84986E-23
224.086	1.56262E-23
229.359	1.31998E-23
232.041	1.11501E-23
237.501	9.41877E-24
243.089	8.10683E-24
248.808	6.84802E-24
254.663	5.89416E-24
260.654	4.88644E-24
269.907	4.20581E-24
276.258	3.61998E-24
282.758	3.05788E-24
292.796	2.58306E-24
299.685	2.22326E-24
313.953	1.87804E-24
321.34	1.58642E-24
332.747	1.36545E-24
348.589	1.17525E-24
360.964	9.92764E-25
378.15	8.54481E-25
396.154	7.4938E-25
419.869	6.44999E-25
450.208	5.65664E-25
477.159	4.96088E-25
511.638	4.35069E-25
548.609	3.88777E-25
595.131	3.47411E-25
645.598	3.16322E-25
700.345	2.88014E-25
777.61	2.6224E-25
853.417	2.47897E-25
936.615	2.34338E-25
1039.95	2.25713E-25
1141.33	2.13367E-25
1267.24	2.05514E-25
1407.05	2.01697E-25
1562.28	1.9795E-25
1734.64	1.9795E-25
1926.01	1.9795E-25
2138.5	1.9795E-25
2374.42	2.05514E-25
2605.9	2.09404E-25
2961.47	2.17406E-25
3250.18	2.2152E-25
3567.03	2.29985E-25
3960.56	2.38773E-25
4397.51	2.47897E-25
4826.21	2.6224E-25
5358.66	2.77414E-25
5881.06	2.9902E-25
6454.39	3.10446E-25
7166.46	3.34624E-25
7774.18	3.60686E-25
8532.07	3.88777E-25
9363.84	4.26988E-25
10396.9	4.60243E-25
11278.6	4.96088E-25
12522.9	5.34724E-25
13584.8	5.65664E-25
14736.8	6.2126E-25
16173.4	6.69645E-25
17957.8	7.35461E-25
19480.6	7.9274E-25
21379.7	8.70654E-25
23192.7	9.56225E-25
25751.4	1.05021E-24
27935.1	1.132E-24
30304	1.24326E-24
33258.3	1.39129E-24
36500.6	1.49965E-24
39138.1	1.64704E-24
42953.6	1.84315E-24
46596.1	2.02431E-24
50547.4	2.22326E-24
55475.2	2.44177E-24
60179.5	2.68176E-24
65282.7	3.00108E-24

