 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     -1.000E-03     1.473E-02     7.367E-11     0.000E+00      1.215E-01      2.425E-01        4.849E-01       5.184E-05      2.256E-01
11.00    12.00    12.00     -1.000E-03     1.215E-02     6.185E-11     0.000E+00      1.062E-01      2.367E-01        4.735E-01       6.544E-05      1.748E-01
12.00    13.00    13.00     -1.000E-03     1.043E-02     5.266E-11     0.000E+00      9.367E-02      2.312E-01        4.624E-01       8.107E-05      1.388E-01
13.00    14.00    14.00     -1.000E-03     9.219E-03     4.537E-11     0.000E+00      8.341E-02      2.264E-01        4.529E-01       9.911E-05      1.121E-01
14.00    15.00    15.00     -1.000E-03     8.324E-03     3.950E-11     0.000E+00      7.505E-02      2.228E-01        4.456E-01       1.200E-04      9.164E-02
15.00    16.00    16.00     -1.000E-03     7.627E-03     3.470E-11     0.000E+00      6.819E-02      2.203E-01        4.406E-01       1.442E-04      7.569E-02
16.00    17.00    17.00     -1.000E-03     7.062E-03     3.072E-11     0.000E+00      6.245E-02      2.186E-01        4.372E-01       1.721E-04      6.308E-02
17.00    18.00    18.00     -1.000E-03     6.582E-03     2.739E-11     0.000E+00      5.755E-02      2.174E-01        4.348E-01       2.038E-04      5.304E-02
18.00    19.00    19.00     -1.000E-03     6.157E-03     2.458E-11     0.000E+00      5.325E-02      2.164E-01        4.327E-01       2.395E-04      4.500E-02
19.00    20.00    20.00     -1.000E-03     5.762E-03     2.217E-11     0.000E+00      4.941E-02      2.152E-01        4.305E-01       2.792E-04      3.852E-02
20.00    21.00    21.00     -1.000E-03     5.384E-03     2.011E-11     0.000E+00      4.591E-02      2.138E-01        4.277E-01       3.229E-04      3.327E-02
21.00    22.00    22.00     -1.000E-03     5.010E-03     1.832E-11     0.000E+00      4.268E-02      2.121E-01        4.241E-01       3.704E-04      2.898E-02
22.00    23.00    23.00     -1.000E-03     4.638E-03     1.675E-11     0.000E+00      3.969E-02      2.098E-01        4.197E-01       4.217E-04      2.545E-02
23.00    24.00    24.00     -1.000E-03     4.257E-03     1.538E-11     0.000E+00      3.691E-02      2.072E-01        4.143E-01       4.766E-04      2.252E-02
24.00    25.00    25.00     -1.000E-03     3.868E-03     1.417E-11     0.000E+00      3.430E-02      2.040E-01        4.080E-01       5.350E-04      2.008E-02
25.00    26.00    26.00     -1.000E-03     3.474E-03     1.310E-11     0.000E+00      3.186E-02      2.004E-01        4.009E-01       5.965E-04      1.802E-02
26.00    27.00    27.00     -1.000E-03     3.076E-03     1.215E-11     0.000E+00      2.957E-02      1.964E-01        3.928E-01       6.610E-04      1.628E-02
27.00    28.00    28.00     -1.000E-03     2.681E-03     1.129E-11     0.000E+00      2.742E-02      1.920E-01        3.840E-01       7.283E-04      1.480E-02
28.00    29.00    29.00     -1.000E-03     2.292E-03     1.053E-11     0.000E+00      2.540E-02      1.873E-01        3.745E-01       7.979E-04      1.353E-02
29.00    30.00    30.00     -1.000E-03     1.917E-03     9.835E-12     0.000E+00      2.351E-02      1.822E-01        3.644E-01       8.695E-04      1.244E-02
30.00    31.00    31.00     -1.000E-03     1.562E-03     9.209E-12     0.000E+00      2.174E-02      1.768E-01        3.536E-01       9.428E-04      1.149E-02
31.00    32.00    32.00     -1.000E-03     1.229E-03     8.642E-12     0.000E+00      2.007E-02      1.712E-01        3.424E-01       1.017E-03      1.066E-02
32.00    33.00    33.00     -1.000E-03     9.217E-04     8.125E-12     0.000E+00      1.852E-02      1.654E-01        3.308E-01       1.093E-03      9.947E-03
33.00    34.00    34.00     -1.000E-03     6.453E-04     7.653E-12     2.590E-34      1.706E-02      1.594E-01        3.188E-01       1.169E-03      9.319E-03
34.00    35.00    35.00     -1.000E-03     4.055E-04     7.221E-12     1.606E-33      1.570E-02      1.533E-01        3.066E-01       1.245E-03      8.768E-03
35.00    36.00    36.00     -1.000E-03     2.206E-04     6.825E-12     1.362E-32      1.443E-02      1.471E-01        2.941E-01       1.320E-03      8.285E-03
36.00    37.00    37.00     -1.000E-03     1.051E-04     6.461E-12     4.412E-32      1.324E-02      1.407E-01        2.815E-01       1.394E-03      7.860E-03
37.00    38.00    38.00     -1.000E-03     4.494E-05     6.124E-12     6.868E-32      1.213E-02      1.344E-01        2.687E-01       1.466E-03      7.487E-03
38.00    39.00    39.00     -1.000E-03     2.020E-05     5.814E-12     1.055E-31      1.110E-02      1.280E-01        2.559E-01       1.536E-03      7.160E-03
39.00    40.00    40.00     -1.000E-03     1.545E-05     5.526E-12     1.231E-31      1.013E-02      1.215E-01        2.430E-01       1.602E-03      6.877E-03
40.00    41.00    41.00     -1.000E-03     4.306E-05     5.260E-12     1.373E-31      9.225E-03      1.150E-01        2.299E-01       1.663E-03      6.638E-03
41.00    42.00    42.00     -1.000E-03     8.946E-05     5.012E-12     1.497E-31      8.386E-03      1.085E-01        2.170E-01       1.720E-03      6.429E-03
42.00    43.00    43.00     -1.000E-03     8.145E-05     4.781E-12     1.600E-31      7.620E-03      1.023E-01        2.046E-01       1.775E-03      6.240E-03
43.00    44.00    44.00     -1.000E-03     4.812E-05     4.566E-12     1.722E-31      6.920E-03      9.636E-02        1.927E-01       1.828E-03      6.070E-03
44.00    45.00    45.00     -1.000E-03     3.236E-05     4.365E-12     1.843E-31      6.282E-03      9.064E-02        1.813E-01       1.878E-03      5.916E-03
45.00    46.00    46.00     -1.000E-03     4.970E-05     4.177E-12     1.987E-31      5.700E-03      8.515E-02        1.703E-01       1.926E-03      5.778E-03
46.00    47.00    47.00     -1.000E-03     1.448E-04     4.001E-12     2.004E-31      5.169E-03      7.988E-02        1.598E-01       1.971E-03      5.653E-03
47.00    48.00    48.00     -1.000E-03     2.842E-04     3.836E-12     2.281E-31      4.685E-03      7.485E-02        1.497E-01       2.015E-03      5.539E-03
48.00    49.00    49.00     -1.000E-03     4.412E-04     3.681E-12     2.599E-31      4.244E-03      7.005E-02        1.401E-01       2.056E-03      5.434E-03
49.00    50.00    50.00     -1.000E-03     5.932E-04     3.535E-12     2.978E-31      3.843E-03      6.546E-02        1.309E-01       2.096E-03      5.338E-03
50.00    51.00    51.00     -1.000E-03     7.525E-04     3.397E-12     3.440E-31      3.476E-03      6.106E-02        1.221E-01       2.133E-03      5.249E-03
51.00    52.00    52.00     -1.000E-03     9.078E-04     3.268E-12     2.506E-28      3.141E-03      5.684E-02        1.137E-01       2.169E-03      5.166E-03
52.00    53.00    53.00     -1.000E-03     1.059E-03     3.146E-12     3.447E-28      2.833E-03      5.276E-02        1.055E-01       2.204E-03      5.089E-03
53.00    54.00    54.00     -1.000E-03     1.206E-03     3.030E-12     4.664E-28      2.551E-03      4.880E-02        9.760E-02       2.238E-03      5.016E-03
54.00    55.00    55.00     -1.000E-03     1.348E-03     2.921E-12     6.195E-28      2.289E-03      4.492E-02        8.983E-02       2.270E-03      4.947E-03
