 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     -5.000E+00     1.473E-02     1.842E-03     0.000E+00      3.297E-01      2.234E-01        4.469E-01       6.500E-07      2.079E+06
11.00    12.00    12.00     -5.000E+00     1.215E-02     1.546E-03     0.000E+00      3.226E-01      2.258E-01        4.516E-01       7.557E-07      1.439E+06
12.00    13.00    13.00     -5.000E+00     1.043E-02     1.316E-03     0.000E+00      3.167E-01      2.278E-01        4.556E-01       8.863E-07      1.026E+06
13.00    14.00    14.00     -5.000E+00     9.219E-03     1.134E-03     0.000E+00      3.117E-01      2.294E-01        4.589E-01       1.044E-06      7.497E+05
14.00    15.00    15.00     -5.000E+00     8.324E-03     9.875E-04     0.000E+00      3.075E-01      2.308E-01        4.617E-01       1.230E-06      5.592E+05
15.00    16.00    16.00     -5.000E+00     7.627E-03     8.675E-04     0.000E+00      3.039E-01      2.320E-01        4.641E-01       1.448E-06      4.246E+05
16.00    17.00    17.00     -5.000E+00     7.062E-03     7.681E-04     0.000E+00      3.007E-01      2.331E-01        4.662E-01       1.698E-06      3.275E+05
17.00    18.00    18.00     -5.000E+00     6.582E-03     6.848E-04     0.000E+00      2.980E-01      2.340E-01        4.680E-01       1.984E-06      2.561E+05
18.00    19.00    19.00     -5.000E+00     6.156E-03     6.144E-04     0.000E+00      2.955E-01      2.348E-01        4.696E-01       2.306E-06      2.027E+05
19.00    20.00    20.00     -5.000E+00     5.762E-03     5.543E-04     0.000E+00      2.934E-01      2.355E-01        4.711E-01       2.668E-06      1.622E+05
20.00    21.00    21.00     -5.000E+00     5.384E-03     5.027E-04     0.000E+00      2.914E-01      2.362E-01        4.724E-01       3.071E-06      1.310E+05
21.00    22.00    22.00     -5.000E+00     5.010E-03     4.579E-04     0.000E+00      2.897E-01      2.368E-01        4.735E-01       3.518E-06      1.067E+05
22.00    23.00    23.00     -5.000E+00     4.638E-03     4.188E-04     0.000E+00      2.882E-01      2.373E-01        4.746E-01       4.012E-06      8.764E+04
23.00    24.00    24.00     -5.000E+00     4.257E-03     3.846E-04     0.000E+00      2.868E-01      2.377E-01        4.755E-01       4.555E-06      7.247E+04
24.00    25.00    25.00     -5.000E+00     3.868E-03     3.543E-04     0.000E+00      2.855E-01      2.382E-01        4.763E-01       5.149E-06      6.031E+04
25.00    26.00    26.00     -5.000E+00     3.473E-03     3.275E-04     0.000E+00      2.843E-01      2.386E-01        4.771E-01       5.799E-06      5.049E+04
26.00    27.00    27.00     -5.000E+00     3.076E-03     3.037E-04     0.000E+00      2.833E-01      2.389E-01        4.778E-01       6.506E-06      4.249E+04
27.00    28.00    28.00     -5.000E+00     2.680E-03     2.823E-04     0.000E+00      2.823E-01      2.392E-01        4.785E-01       7.273E-06      3.594E+04
28.00    29.00    29.00     -5.000E+00     2.292E-03     2.632E-04     0.000E+00      2.814E-01      2.395E-01        4.791E-01       8.105E-06      3.054E+04
29.00    30.00    30.00     -5.000E+00     1.917E-03     2.459E-04     0.000E+00      2.805E-01      2.398E-01        4.796E-01       9.005E-06      2.605E+04
