 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     5.000E+00     1.473E-02     1.842E-03     0.000E+00      3.298E-01      2.234E-01        4.468E-01       6.449E-07      2.078E+06
11.00    12.00    12.00     5.000E+00     1.215E-02     1.546E-03     0.000E+00      3.227E-01      2.258E-01        4.515E-01       7.495E-07      1.439E+06
12.00    13.00    13.00     5.000E+00     1.043E-02     1.316E-03     0.000E+00      3.168E-01      2.277E-01        4.555E-01       8.788E-07      1.026E+06
13.00    14.00    14.00     5.000E+00     9.219E-03     1.134E-03     0.000E+00      3.119E-01      2.294E-01        4.588E-01       1.035E-06      7.493E+05
14.00    15.00    15.00     5.000E+00     8.324E-03     9.875E-04     0.000E+00      3.077E-01      2.308E-01        4.616E-01       1.220E-06      5.589E+05
15.00    16.00    16.00     5.000E+00     7.627E-03     8.675E-04     0.000E+00      3.040E-01      2.320E-01        4.640E-01       1.435E-06      4.244E+05
16.00    17.00    17.00     5.000E+00     7.062E-03     7.681E-04     0.000E+00      3.009E-01      2.330E-01        4.661E-01       1.683E-06      3.273E+05
17.00    18.00    18.00     5.000E+00     6.582E-03     6.848E-04     0.000E+00      2.982E-01      2.339E-01        4.679E-01       1.966E-06      2.560E+05
18.00    19.00    19.00     5.000E+00     6.156E-03     6.144E-04     0.000E+00      2.957E-01      2.348E-01        4.695E-01       2.285E-06      2.026E+05
19.00    20.00    20.00     5.000E+00     5.762E-03     5.543E-04     0.000E+00      2.936E-01      2.355E-01        4.709E-01       2.643E-06      1.621E+05
20.00    21.00    21.00     5.000E+00     5.384E-03     5.027E-04     0.000E+00      2.917E-01      2.361E-01        4.722E-01       3.041E-06      1.309E+05
21.00    22.00    22.00     5.000E+00     5.010E-03     4.579E-04     0.000E+00      2.900E-01      2.367E-01        4.734E-01       3.483E-06      1.066E+05
22.00    23.00    23.00     5.000E+00     4.638E-03     4.188E-04     0.000E+00      2.884E-01      2.372E-01        4.744E-01       3.970E-06      8.756E+04
23.00    24.00    24.00     5.000E+00     4.257E-03     3.846E-04     0.000E+00      2.870E-01      2.377E-01        4.753E-01       4.505E-06      7.241E+04
24.00    25.00    25.00     5.000E+00     3.868E-03     3.543E-04     0.000E+00      2.858E-01      2.381E-01        4.762E-01       5.091E-06      6.026E+04
25.00    26.00    26.00     5.000E+00     3.473E-03     3.275E-04     0.000E+00      2.846E-01      2.385E-01        4.769E-01       5.730E-06      5.044E+04
26.00    27.00    27.00     5.000E+00     3.076E-03     3.037E-04     0.000E+00      2.835E-01      2.388E-01        4.776E-01       6.425E-06      4.245E+04
27.00    28.00    28.00     5.000E+00     2.680E-03     2.823E-04     0.000E+00      2.826E-01      2.391E-01        4.783E-01       7.179E-06      3.590E+04
28.00    29.00    29.00     5.000E+00     2.292E-03     2.632E-04     0.000E+00      2.817E-01      2.394E-01        4.789E-01       7.994E-06      3.050E+04
29.00    30.00    30.00     5.000E+00     1.917E-03     2.459E-04     0.000E+00      2.809E-01      2.397E-01        4.794E-01       8.876E-06      2.602E+04
30.00    31.00    31.00     5.000E+00     1.561E-03     2.302E-04     0.000E+00      2.801E-01      2.400E-01        4.799E-01       9.825E-06      2.229E+04
31.00    32.00    32.00     5.000E+00     1.229E-03     2.160E-04     0.000E+00      2.794E-01      2.402E-01        4.804E-01       1.085E-05      1.916E+04
32.00    33.00    33.00     5.000E+00     9.215E-04     2.031E-04     0.000E+00      2.788E-01      2.404E-01        4.808E-01       1.194E-05      1.652E+04
