 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    351.00    351.00     1.000E+01     1.369E-05     7.158E-06      0.000E+00      0.000E+00        0.000E+00       5.355E-03      4.281E-03
400.00    401.00    401.00     1.000E+01     2.723E-05     5.484E-06      0.000E+00      0.000E+00        0.000E+00       2.008E-03      4.266E-03
450.00    451.00    451.00     1.000E+01     4.862E-05     4.335E-06      0.000E+00      0.000E+00        0.000E+00       6.416E-04      4.260E-03
500.00    501.00    501.00     1.000E+01     7.963E-05     3.513E-06      0.000E+00      0.000E+00        0.000E+00       1.299E-04      4.258E-03
550.00    551.00    551.00     1.000E+01     1.216E-04     2.904E-06      0.000E+00      0.000E+00        0.000E+00       1.287E-06      4.258E-03
600.00    601.00    601.00     1.000E+01     1.750E-04     2.441E-06      0.000E+00      0.000E+00        0.000E+00       4.562E-05      4.258E-03
650.00    651.00    651.00     1.000E+01     2.408E-04     2.080E-06      0.000E+00      0.000E+00        0.000E+00       1.649E-04      4.258E-03
700.00    701.00    701.00     1.000E+01     3.187E-04     1.794E-06      0.000E+00      0.000E+00        0.000E+00       3.123E-04      4.259E-03
750.00    751.00    751.00     1.000E+01     4.084E-04     1.563E-06      0.000E+00      0.000E+00        0.000E+00       4.652E-04      4.260E-03
800.00    801.00    801.00     1.000E+01     5.095E-04     1.374E-06      0.000E+00      0.000E+00        0.000E+00       6.128E-04      4.260E-03
850.00    851.00    851.00     1.000E+01     6.215E-04     1.217E-06      0.000E+00      0.000E+00        0.000E+00       7.504E-04      4.261E-03
900.00    901.00    901.00     1.000E+01     7.438E-04     1.086E-06      0.000E+00      0.000E+00        0.000E+00       8.764E-04      4.261E-03
950.00    951.00    951.00     1.000E+01     8.760E-04     9.748E-07      0.000E+00      0.000E+00        0.000E+00       9.906E-04      4.262E-03
1000.00    1001.00    1001.00     1.000E+01     1.018E-03     8.799E-07      0.000E+00      0.000E+00        0.000E+00       1.094E-03      4.262E-03
1050.00    1051.00    1051.00     1.000E+01     1.169E-03     7.982E-07      0.000E+00      0.000E+00        0.000E+00       1.186E-03      4.263E-03
1100.00    1101.00    1101.00     1.000E+01     1.328E-03     7.273E-07      0.000E+00      0.000E+00        0.000E+00       1.270E-03      4.263E-03
1150.00    1151.00    1151.00     1.000E+01     1.497E-03     6.655E-07      0.000E+00      0.000E+00        0.000E+00       1.345E-03      4.263E-03
1200.00    1201.00    1201.00     1.000E+01     1.673E-03     6.112E-07      0.000E+00      0.000E+00        0.000E+00       1.412E-03      4.264E-03
1250.00    1251.00    1251.00     1.000E+01     1.858E-03     5.633E-07      0.000E+00      0.000E+00        0.000E+00       1.473E-03      4.264E-03
1300.00    1301.00    1301.00     1.000E+01     2.051E-03     5.209E-07      0.000E+00      0.000E+00        0.000E+00       1.529E-03      4.264E-03
1350.00    1351.00    1351.00     1.000E+01     2.252E-03     4.830E-07      0.000E+00      0.000E+00        0.000E+00       1.579E-03      4.264E-03
1400.00    1401.00    1401.00     1.000E+01     2.461E-03     4.492E-07      0.000E+00      0.000E+00        0.000E+00       1.624E-03      4.265E-03
1450.00    1451.00    1451.00     1.000E+01     2.678E-03     4.187E-07      0.000E+00      0.000E+00        0.000E+00       1.665E-03      4.265E-03
1500.00    1501.00    1501.00     1.000E+01     2.903E-03     3.913E-07      0.000E+00      0.000E+00        0.000E+00       1.703E-03      4.265E-03
1550.00    1551.00    1551.00     1.000E+01     3.135E-03     3.665E-07      0.000E+00      0.000E+00        0.000E+00       1.738E-03      4.265E-03
1600.00    1601.00    1601.00     1.000E+01     3.375E-03     3.439E-07      0.000E+00      0.000E+00        0.000E+00       1.769E-03      4.265E-03
1650.00    1651.00    1651.00     1.000E+01     3.623E-03     3.234E-07      0.000E+00      0.000E+00        0.000E+00       1.798E-03      4.265E-03
1700.00    1701.00    1701.00     1.000E+01     3.879E-03     3.047E-07      0.000E+00      0.000E+00        0.000E+00       1.825E-03      4.265E-03
1750.00    1751.00    1751.00     1.000E+01     4.142E-03     2.875E-07      0.000E+00      0.000E+00        0.000E+00       1.849E-03      4.266E-03
1800.00    1801.00    1801.00     1.000E+01     4.413E-03     2.718E-07      0.000E+00      0.000E+00        0.000E+00       1.872E-03      4.266E-03
1850.00    1851.00    1851.00     1.000E+01     4.692E-03     2.573E-07      0.000E+00      0.000E+00        0.000E+00       1.893E-03      4.266E-03
1900.00    1901.00    1901.00     1.000E+01     4.978E-03     2.440E-07      0.000E+00      0.000E+00        0.000E+00       1.913E-03      4.266E-03
1950.00    1951.00    1951.00     1.000E+01     5.272E-03     2.316E-07      0.000E+00      0.000E+00        0.000E+00       1.931E-03      4.266E-03
2000.00    2001.00    2001.00     1.000E+01     5.573E-03     2.202E-07      0.000E+00      0.000E+00        0.000E+00       1.948E-03      4.266E-03
2050.00    2051.00    2051.00     1.000E+01     5.882E-03     2.096E-07      0.000E+00      0.000E+00        0.000E+00       1.963E-03      4.266E-03
2100.00    2101.00    2101.00     1.000E+01     6.199E-03     1.997E-07      0.000E+00      0.000E+00        0.000E+00       1.978E-03      4.266E-03
2150.00    2151.00    2151.00     1.000E+01     6.524E-03     1.905E-07      0.000E+00      0.000E+00        0.000E+00       1.992E-03      4.266E-03
2200.00    2201.00    2201.00     1.000E+01     6.856E-03     1.820E-07      0.000E+00      0.000E+00        0.000E+00       2.004E-03      4.266E-03
2250.00    2251.00    2251.00     1.000E+01     7.196E-03     1.740E-07      0.000E+00      0.000E+00        0.000E+00       2.016E-03      4.266E-03
2300.00    2301.00    2301.00     1.000E+01     7.544E-03     1.665E-07      0.000E+00      0.000E+00        0.000E+00       2.028E-03      4.266E-03
2350.00    2351.00    2351.00     1.000E+01     7.899E-03     1.595E-07      0.000E+00      0.000E+00        0.000E+00       2.038E-03      4.266E-03
2400.00    2401.00    2401.00     1.000E+01     8.262E-03     1.529E-07      0.000E+00      0.000E+00        0.000E+00       2.048E-03      4.266E-03
2450.00    2451.00    2451.00     1.000E+01     8.632E-03     1.467E-07      0.000E+00      0.000E+00        0.000E+00       2.057E-03      4.266E-03
2500.00    2501.00    2501.00     1.000E+01     9.011E-03     1.409E-07      0.000E+00      0.000E+00        0.000E+00       2.066E-03      4.267E-03
2550.00    2551.00    2551.00     1.000E+01     9.397E-03     1.355E-07      0.000E+00      0.000E+00        0.000E+00       2.074E-03      4.267E-03
2600.00    2601.00    2601.00     1.000E+01     9.790E-03     1.303E-07      0.000E+00      0.000E+00        0.000E+00       2.082E-03      4.267E-03
2650.00    2651.00    2651.00     1.000E+01     1.019E-02     1.254E-07      0.000E+00      0.000E+00        0.000E+00       2.090E-03      4.267E-03
2700.00    2701.00    2701.00     1.000E+01     1.060E-02     1.208E-07      0.000E+00      0.000E+00        0.000E+00       2.097E-03      4.267E-03
2750.00    2751.00    2751.00     1.000E+01     1.102E-02     1.165E-07      0.000E+00      0.000E+00        0.000E+00       2.103E-03      4.267E-03
2800.00    2801.00    2801.00     1.000E+01     1.144E-02     1.124E-07      0.000E+00      0.000E+00        0.000E+00       2.110E-03      4.267E-03
2850.00    2851.00    2851.00     1.000E+01     1.187E-02     1.085E-07      0.000E+00      0.000E+00        0.000E+00       2.116E-03      4.267E-03
2900.00    2901.00    2901.00     1.000E+01     1.231E-02     1.048E-07      0.000E+00      0.000E+00        0.000E+00       2.121E-03      4.267E-03
2950.00    2951.00    2951.00     1.000E+01     1.276E-02     1.012E-07      0.000E+00      0.000E+00        0.000E+00       2.127E-03      4.267E-03
3000.00    3001.00    3001.00     1.000E+01     1.322E-02     9.789E-08      0.000E+00      0.000E+00        0.000E+00       2.132E-03      4.267E-03
3050.00    3051.00    3051.00     1.000E+01     1.368E-02     9.471E-08      0.000E+00      0.000E+00        0.000E+00       2.137E-03      4.267E-03
3100.00    3101.00    3101.00     1.000E+01     1.415E-02     9.168E-08      0.000E+00      0.000E+00        0.000E+00       2.141E-03      4.267E-03
3150.00    3151.00    3151.00     1.000E+01     1.463E-02     8.879E-08      0.000E+00      0.000E+00        0.000E+00       2.146E-03      4.267E-03
3200.00    3201.00    3201.00     1.000E+01     1.512E-02     8.604E-08      0.000E+00      0.000E+00        0.000E+00       2.150E-03      4.267E-03
3250.00    3251.00    3251.00     1.000E+01     1.561E-02     8.341E-08      0.000E+00      0.000E+00        0.000E+00       2.154E-03      4.267E-03
3300.00    3301.00    3301.00     1.000E+01     1.612E-02     8.090E-08      0.000E+00      0.000E+00        0.000E+00       2.158E-03      4.267E-03
3350.00    3351.00    3351.00     1.000E+01     1.663E-02     7.851E-08      0.000E+00      0.000E+00        0.000E+00       2.162E-03      4.267E-03
3400.00    3401.00    3401.00     1.000E+01     1.714E-02     7.622E-08      0.000E+00      0.000E+00        0.000E+00       2.165E-03      4.267E-03
3450.00    3451.00    3451.00     1.000E+01     1.767E-02     7.402E-08      0.000E+00      0.000E+00        0.000E+00       2.169E-03      4.267E-03
3500.00    3501.00    3501.00     1.000E+01     1.820E-02     7.192E-08      0.000E+00      0.000E+00        0.000E+00       2.172E-03      4.267E-03
3550.00    3551.00    3551.00     1.000E+01     1.874E-02     6.991E-08      0.000E+00      0.000E+00        0.000E+00       2.175E-03      4.267E-03
3600.00    3601.00    3601.00     1.000E+01     1.929E-02     6.798E-08      0.000E+00      0.000E+00        0.000E+00       2.178E-03      4.267E-03
