 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    351.00    351.00     1.260E+01     5.978E-06     1.136E-05      0.000E+00      0.000E+00        0.000E+00       1.090E-02      4.305E-03
400.00    401.00    401.00     1.260E+01     1.216E-05     8.706E-06      0.000E+00      0.000E+00        0.000E+00       4.741E-03      4.278E-03
450.00    451.00    451.00     1.260E+01     2.224E-05     6.883E-06      0.000E+00      0.000E+00        0.000E+00       1.969E-03      4.266E-03
500.00    501.00    501.00     1.260E+01     3.736E-05     5.577E-06      0.000E+00      0.000E+00        0.000E+00       7.203E-04      4.261E-03
550.00    551.00    551.00     1.260E+01     5.853E-05     4.611E-06      0.000E+00      0.000E+00        0.000E+00       1.920E-04      4.259E-03
600.00    601.00    601.00     1.260E+01     8.655E-05     3.875E-06      0.000E+00      0.000E+00        0.000E+00       1.595E-05      4.258E-03
650.00    651.00    651.00     1.260E+01     1.220E-04     3.303E-06      0.000E+00      0.000E+00        0.000E+00       1.380E-05      4.258E-03
700.00    701.00    701.00     1.260E+01     1.650E-04     2.849E-06      0.000E+00      0.000E+00        0.000E+00       9.599E-05      4.258E-03
750.00    751.00    751.00     1.260E+01     2.158E-04     2.482E-06      0.000E+00      0.000E+00        0.000E+00       2.163E-04      4.259E-03
800.00    801.00    801.00     1.260E+01     2.736E-04     2.182E-06      0.000E+00      0.000E+00        0.000E+00       3.507E-04      4.259E-03
850.00    851.00    851.00     1.260E+01     3.394E-04     1.933E-06      0.000E+00      0.000E+00        0.000E+00       4.864E-04      4.260E-03
900.00    901.00    901.00     1.260E+01     4.123E-04     1.724E-06      0.000E+00      0.000E+00        0.000E+00       6.172E-04      4.260E-03
950.00    951.00    951.00     1.260E+01     4.921E-04     1.548E-06      0.000E+00      0.000E+00        0.000E+00       7.399E-04      4.261E-03
1000.00    1001.00    1001.00     1.260E+01     5.785E-04     1.397E-06      0.000E+00      0.000E+00        0.000E+00       8.535E-04      4.261E-03
1050.00    1051.00    1051.00     1.260E+01     6.712E-04     1.267E-06      0.000E+00      0.000E+00        0.000E+00       9.577E-04      4.262E-03
1100.00    1101.00    1101.00     1.260E+01     7.701E-04     1.155E-06      0.000E+00      0.000E+00        0.000E+00       1.053E-03      4.262E-03
1150.00    1151.00    1151.00     1.260E+01     8.748E-04     1.057E-06      0.000E+00      0.000E+00        0.000E+00       1.140E-03      4.263E-03
1200.00    1201.00    1201.00     1.260E+01     9.852E-04     9.704E-07      0.000E+00      0.000E+00        0.000E+00       1.218E-03      4.263E-03
1250.00    1251.00    1251.00     1.260E+01     1.101E-03     8.944E-07      0.000E+00      0.000E+00        0.000E+00       1.290E-03      4.263E-03
1300.00    1301.00    1301.00     1.260E+01     1.223E-03     8.269E-07      0.000E+00      0.000E+00        0.000E+00       1.356E-03      4.263E-03
1350.00    1351.00    1351.00     1.260E+01     1.349E-03     7.669E-07      0.000E+00      0.000E+00        0.000E+00       1.415E-03      4.264E-03
