 Mv1   Mvp      cs_(pb)   
 8.0    64.1    2.5473E+01 
 4.3    77.9    7.4606E+00 
 56.4    72.5    1.2684E+01 
 16.5    48.4    8.4981E+01 
 91.4    73.3    1.1791E+01 
 50.2    63.3    2.7106E+01 
 35.9    58.1    4.0303E+01 
 67.1    77.8    7.5417E+00 
 2.8    49.5    7.7885E+01 
 21.1    70.9    1.4612E+01 
 8.1    81.5    4.8744E+00 
 83.3    46.8    9.6669E+01 
 19.8    47.6    9.0608E+01 
 17.3    54.4    5.3340E+01 
 43.2    84.9    2.9653E+00 
 91.1    71.2    1.4235E+01 
 17.9    94.7    1.3019E-02 
 18.2    83.5    3.6934E+00 
 52.1    62.4    2.9056E+01 
 79.7    70.3    1.5388E+01 
 86.9    63.0    2.7743E+01 
 82.8    59.2    3.7083E+01 
 59.5    73.7    1.1362E+01 
 89.4    77.1    8.1244E+00 
 63.5    52.7    6.0739E+01 
 16.0    82.0    4.5630E+00 
 84.1    46.8    9.6669E+01 
 74.0    49.2    7.9751E+01 
 9.3    92.5    3.2325E-01 
 26.7    71.9    1.3384E+01 
 71.2    56.6    4.5144E+01 
 6.8    91.3    5.9253E-01 
 22.3    57.3    4.2816E+01 
 66.4    83.5    3.6934E+00 
 56.8    71.6    1.3744E+01 
 26.9    70.3    1.5388E+01 
 85.0    52.3    6.2636E+01 
 75.4    70.8    1.4740E+01 
 68.8    81.6    4.8112E+00 
 15.7    64.3    2.5078E+01 
 84.2    60.8    3.2840E+01 
 12.8    83.5    3.6934E+00 
 34.1    90.1    9.1978E-01 
 81.2    67.0    2.0240E+01 
 81.0    51.3    6.7665E+01 
 92.9    74.9    1.0138E+01 
 34.7    47.0    9.5111E+01 
 50.4    74.2    1.0840E+01 
 27.8    56.1    4.6885E+01 
 34.4    88.9    1.3019E+00 
 71.9    76.6    8.5572E+00 
 37.2    77.4    7.8714E+00 
 74.1    53.8    5.5836E+01 
 16.3    69.9    1.5922E+01 
 86.3    61.0    3.2343E+01 
 84.1    84.7    3.0645E+00 
 60.7    45.5    1.0756E+02 
 53.9    94.4    3.6980E-02 
 86.6    65.8    2.2283E+01 
 41.1    83.1    3.9160E+00 
 51.9    65.2    2.3367E+01 
 34.9    90.0    9.4955E-01 
 42.7    89.3    1.1685E+00 
 46.5    81.4    4.9380E+00 
 11.0    87.0    2.0168E+00 
 58.1    88.1    1.5865E+00 
 45.2    94.6    2.0073E-02 
 48.8    57.4    4.2494E+01 
 16.8    78.6    6.9077E+00 
 71.2    48.8    8.2319E+01 
 94.1    76.5    8.6454E+00 
 82.7    76.3    8.8236E+00 
 61.1    66.6    2.0903E+01 
 58.6    72.5    1.2684E+01 
 80.6    47.0    9.5111E+01 
 30.4    64.4    2.4883E+01 
 42.8    78.7    6.8308E+00 
 28.1    89.4    1.1361E+00 
 53.5    83.6    3.6387E+00 
 59.0    78.3    7.1416E+00 
 58.5    56.2    4.6531E+01 
 50.5    49.1    8.0384E+01 
 21.4    46.8    9.6669E+01 
 32.1    64.3    2.5078E+01 
 67.4    48.9    8.1668E+01 
 44.4    79.8    6.0176E+00 
 67.5    61.5    3.1131E+01 
 31.3    62.4    2.9056E+01 
 72.7    91.7    4.9609E-01 
 85.4    75.5    9.5600E+00 
 92.6    55.5    4.9065E+01 
 94.8    65.9    2.2106E+01 
 84.1    59.3    3.6803E+01 
 29.9    67.1    2.0077E+01 
 6.6    91.2    6.1765E-01 
 11.1    78.6    6.9077E+00 
 15.0    76.7    8.4695E+00 
 71.9    63.3    2.7106E+01 
 63.9    49.3    7.9123E+01 
 71.6    63.8    2.6075E+01 
 16.3    55.6    4.8695E+01 
 2.5    71.5    1.3866E+01 
 45.2    80.3    5.6675E+00 
 45.3    63.9    2.5873E+01 
 49.8    56.1    4.6885E+01 
 92.1    57.8    4.1228E+01 
 18.5    72.3    1.2914E+01 
 7.6    79.4    6.3064E+00 
 50.4    77.4    7.8714E+00 
 1.6    88.4    1.4770E+00 
 78.8    50.8    7.0345E+01 
 15.7    48.2    8.6349E+01 
 6.5    54.5    5.2936E+01 
 91.5    67.5    1.9436E+01 
 41.7    68.8    1.7465E+01 
 4.7    47.3    9.2828E+01 
 67.3    47.8    8.9162E+01 
 55.0    53.8    5.5836E+01 
 72.6    47.3    9.2828E+01 
 53.1    59.0    3.7649E+01 
 26.2    71.2    1.4235E+01 
 51.5    67.7    1.9122E+01 
 7.5    75.3    9.7500E+00 
 14.3    74.7    1.0335E+01 
 25.0    52.4    6.2155E+01 
 44.4    49.2    7.9751E+01 
 25.9    76.0    9.0953E+00 
 14.9    61.2    3.1853E+01 
 77.0    50.5    7.2010E+01 
 73.6    57.1    4.3469E+01 
 56.2    85.6    2.6303E+00 
 27.9    59.6    3.5976E+01 
 82.6    88.1    1.5865E+00 
 45.0    76.5    8.6454E+00 
 86.3    46.1    1.0236E+02 
 86.5    53.8    5.5836E+01 
 52.2    67.4    1.9595E+01 
 60.2    75.7    9.3723E+00 
 6.1    83.6    3.6387E+00 
 20.6    60.5    3.3598E+01 
 87.4    78.5    6.9852E+00 
 38.0    54.2    5.4159E+01 
 28.2    72.0    1.3265E+01 
 48.7    49.9    7.5473E+01 
 62.2    59.0    3.7649E+01 
 32.9    56.9    4.4131E+01 
 9.7    76.3    8.8236E+00 
 50.8    93.0    2.2961E-01 
 46.8    94.9    2.4985E-03 
 56.4    64.8    2.4115E+01 
 2.8    70.0    1.5788E+01 
 54.7    73.2    1.1900E+01 
 90.0    55.0    5.0963E+01 
 17.7    45.1    1.1120E+02 
 92.3    64.3    2.5078E+01 
 30.2    89.5    1.1041E+00 
 6.3    80.2    5.7365E+00 
 8.0    62.3    2.9280E+01 
 24.0    74.1    1.0943E+01 
 42.7    89.8    1.0102E+00 
 82.1    84.2    3.3195E+00 
 13.6    92.7    2.8441E-01 
 39.5    78.2    7.2206E+00 
 87.0    89.9    9.7971E-01 
 63.2    70.3    1.5388E+01 
 28.5    79.0    6.6031E+00 
 1.4    88.2    1.5497E+00 
 24.0    92.6    3.0361E-01 
 7.0    66.1    2.1757E+01 
 90.6    46.8    9.6669E+01 
 76.9    58.2    3.9999E+01 
 88.1    88.2    1.5497E+00 
 92.0    45.1    1.1120E+02 
 20.7    55.7    4.8327E+01 
 55.9    77.6    7.7055E+00 
 11.3    67.3    1.9755E+01 
 42.0    57.2    4.3141E+01 
 38.7    87.3    1.8950E+00 
 86.2    60.8    3.2840E+01 
 70.8    73.4    1.1683E+01 
 78.2    46.7    9.7460E+01 
 24.4    86.3    2.3143E+00 
 85.5    69.7    1.6195E+01 
 74.1    93.1    2.1230E-01 
 87.1    81.5    4.8744E+00 
 94.9    81.2    5.0665E+00 
 94.5    91.3    5.9253E-01 
 56.2    93.1    2.1230E-01 
 88.1    84.8    3.0147E+00 
 17.5    70.5    1.5126E+01 
 43.2    59.2    3.7083E+01 
 90.9    89.3    1.1685E+00 
 50.6    62.9    2.7958E+01 
 69.7    66.7    2.0736E+01 
 64.3    68.7    1.7611E+01 
 1.3    69.7    1.6195E+01 
 48.8    57.6    4.1856E+01 
 31.1    65.3    2.3183E+01 
 71.0    49.9    7.5473E+01 
 35.7    78.0    7.3801E+00 
 78.9    63.4    2.6897E+01 
 37.1    86.1    2.4027E+00 
 28.6    93.6    1.3331E-01 
 74.8    56.0    4.7241E+01 
 73.2    93.1    2.1230E-01 
 69.6    55.9    4.7601E+01 
 24.1    79.3    6.3799E+00 
 10.7    83.7    3.5845E+00 
 5.1    86.7    2.1420E+00 
 20.6    80.9    5.2627E+00 
 29.9    55.6    4.8695E+01 
 20.9    85.8    2.5381E+00 
 44.5    71.6    1.3744E+01 
 21.9    55.4    4.9439E+01 
 60.2    74.6    1.0435E+01 
 82.6    67.9    1.8812E+01 
 91.2    57.6    4.1856E+01 
 27.4    57.6    4.1856E+01 
 22.0    48.3    8.5662E+01 
 45.4    94.6    2.0073E-02 
 3.6    55.1    5.0577E+01 
 20.7    58.7    3.8514E+01 
 84.6    60.6    3.3344E+01 
 5.5    91.7    4.9609E-01 
