 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     ctau_v2     Br(H->AA)      Width_H   
51.70   58.18    100.00   9.740E-01   -8.265E-02   8.265E-02     5.056E-03     3.018E-06      7.127E-01       2.870E-01       2.145E-05      1.076E-06      1.989E+01 
50.73   55.33    100.00   6.250E-01   3.066E-01   -3.066E-01     4.381E-03     1.290E-06      6.486E-01       3.510E-01       1.173E-04      7.267E-08      1.009E+01 
34.97   39.30    100.00   1.836E-01   4.746E-01   -4.746E-01     9.178E-03     2.303E-07      6.691E-01       3.302E-01       1.667E-04      3.145E-06      6.045E+00 
19.55   24.42    100.00   -6.982E-01   5.379E-01   -5.379E-01     9.117E-01     1.024E-05      7.213E-01       2.786E-01       1.031E-04      1.746E-07      1.139E+03 
47.43   48.22    100.00   -4.099E-01   -9.357E-02   9.357E-02     1.911E-04     6.331E-07      5.199E-01       4.796E-01       9.126E-01      1.340E-05      7.971E+00 
47.31   51.17    100.00   -3.354E-01   3.955E-01   -3.955E-01     1.784E-03     4.259E-07      5.926E-01       4.065E-01       2.850E-04      1.919E-05      4.746E+00 
23.60   29.34    100.00   8.136E-01   -8.569E-01   8.569E-01     4.602E-01     9.689E-06      7.331E-01       2.669E-01       4.466E-05      6.824E-09      6.698E+02 
41.76   48.53    100.00   5.641E-01   -6.064E-01   6.064E-01     9.749E-04     1.538E-06      7.089E-01       2.909E-01       1.789E-05      4.612E-10      2.198E+01 
37.47   43.59    100.00   2.029E-01   3.482E-01   -3.482E-01     5.043E-03     2.460E-07      7.215E-01       2.777E-01       2.982E-05      3.431E-06      4.869E+00 
22.74   24.71    100.00   -7.857E-01   7.527E-02   -7.527E-02     4.019E-02     9.710E-06      5.892E-01       4.108E-01       9.175E-03      2.452E-07      9.164E+02 
13.16   16.44    100.00   -4.443E-01   -2.152E-01   2.152E-01     2.093E+00     8.759E-06      7.140E-01       2.860E-01       7.794E-04      5.340E-08      2.460E+03 
48.01   50.95    100.00   8.720E-01   2.615E-01   -2.615E-01     1.129E-03     2.798E-06      5.908E-01       4.090E-01       1.111E-03      3.899E-07      2.965E+01 
55.75   56.11    100.00   -6.957E-01   3.071E-01   -3.071E-01     1.255E-03     1.327E-06      5.107E-01       4.887E-01       6.186E+01      1.996E-05      8.573E+00 
43.91   50.02    100.00   9.086E-04   -5.055E-01   5.055E-01     2.714E-03     3.619E-12      2.907E-03       5.948E-01       2.921E-05      3.437E-03      1.068E-02 
23.41   28.86    100.00   -4.370E-01   -2.749E-01   2.749E-01     3.252E-01     2.840E-06      7.110E-01       2.889E-01       5.753E-05      6.121E-07      2.066E+02 
18.29   20.52    100.00   -2.147E-01   -1.285E-01   1.285E-01     1.327E-01     1.099E-06      6.144E-01       3.856E-01       5.109E-03      4.764E-07      1.680E+02 
44.37   47.54    100.00   7.384E-01   1.815E-01   -1.815E-01     1.840E-04     2.341E-06      5.996E-01       4.003E-01       7.803E-04      1.058E-07      3.229E+01 
57.09   64.27    100.00   -2.942E-01   -9.017E-01   9.017E-01     3.856E-03     2.265E-07      9.934E-01       0.000E+00       1.273E-05      1.166E-04      6.537E-01 
51.19   52.76    100.00   -2.832E-01   -4.300E-01   4.300E-01     1.118E-03     2.603E-07      5.359E-01       4.623E-01       2.745E-02      3.293E-05      2.376E+00 
26.77   32.37    100.00   -4.436E-02   2.019E-01   -2.019E-01     2.167E-01     2.259E-08      6.038E-01       3.930E-01       4.915E-05      3.548E-05      1.374E+00 
40.59   42.35    100.00   9.504E-01   9.507E-01   -9.507E-01     1.695E-04     4.617E-06      5.576E-01       4.424E-01       1.574E-02      1.739E-07      9.200E+01 
35.03   37.51    100.00   -9.170E-01   -3.082E-01   3.082E-01     3.426E-03     5.730E-06      5.807E-01       4.193E-01       2.714E-03      1.510E-06      1.724E+02 
44.36   50.74    100.00   9.294E-01   -9.853E-01   9.853E-01     3.710E-03     3.712E-06      6.899E-01       3.100E-01       2.358E-05      3.400E-07      4.456E+01 
41.57   46.63    100.00   4.248E-01   9.196E-01   -9.196E-01     2.733E-04     8.803E-07      6.652E-01       3.344E-01       7.546E-05      1.868E-07      1.361E+01 
49.72   51.61    100.00   7.117E-01   -5.312E-01   5.312E-01     9.215E-04     1.740E-06      5.596E-01       4.401E-01       1.071E-02      1.788E-07      1.706E+01 
58.87   62.23    100.00   -7.248E-01   8.122E-01   -8.122E-01     6.225E-04     1.294E-06      8.026E-01       1.962E-01       5.611E-04      4.799E-05      3.664E+00 
39.01   45.98    100.00   -7.930E-01   1.880E-01   -1.880E-01     2.320E-03     3.475E-06      6.933E-01       3.066E-01       1.562E-05      3.421E-06      6.317E+01 
44.72   51.70    100.00   6.051E-01   2.521E-01   -2.521E-01     6.513E-03     1.548E-06      7.110E-01       2.888E-01       1.523E-05      1.076E-08      1.754E+01 
17.44   21.29    100.00   -4.371E-01   7.083E-01   -7.083E-01     7.657E-01     4.987E-06      6.966E-01       3.034E-01       3.385E-04      1.710E-07      7.516E+02 
10.55   12.13    100.00   -1.315E-01   7.328E-01   -7.328E-01     6.340E-01     1.154E-06      6.347E-01       3.653E-01       3.149E-02      1.105E-07      5.994E+02 
51.17   54.07    100.00   3.822E-01   8.437E-01   -8.437E-01     2.268E-03     4.742E-07      5.989E-01       4.000E-01       1.188E-03      7.677E-07      3.879E+00 
47.54   54.11    100.00   9.160E-01   6.370E-01   -6.370E-01     6.850E-03     3.147E-06      6.961E-01       3.038E-01       2.028E-05      5.064E-07      2.935E+01 
53.21   53.82    100.00   -9.043E-01   2.512E-01   -2.512E-01     9.778E-04     2.459E-06      5.173E-01       4.825E-01       3.537E+00      1.205E-05      1.972E+01 
24.45   31.21    100.00   -1.837E-01   1.135E-01   -1.135E-01     4.694E-01     4.612E-07      7.273E-01       2.725E-01       2.003E-05      2.468E-06      2.939E+01 
49.63   55.30    100.00   -9.079E-01   -6.218E-01   6.218E-01     5.207E-03     2.842E-06      6.548E-01       3.450E-01       4.156E-05      1.013E-05      2.398E+01 
34.17   37.05    100.00   6.804E-01   -6.970E-01   6.970E-01     5.409E-03     3.311E-06      6.031E-01       3.969E-01       1.290E-03      8.500E-09      1.031E+02 
22.48   30.45    100.00   8.599E-01   -6.086E-01   6.086E-01     1.519E+00     1.188E-05      8.033E-01       1.967E-01       9.117E-06      8.079E-09      8.461E+02 
29.50   34.60    100.00   -1.571E-01   -1.615E-01   1.615E-01     7.289E-02     2.347E-07      6.504E-01       3.492E-01       7.588E-05      6.457E-06      1.024E+01 
28.19   32.50    100.00   9.364E-01   5.094E-01   -5.094E-01     6.148E-02     9.109E-06      6.650E-01       3.350E-01       1.762E-04      2.853E-08      4.391E+02 
41.68   48.49    100.00   -2.489E-01   2.991E-01   -2.991E-01     9.772E-04     3.007E-07      6.584E-01       3.407E-01       1.743E-05      1.663E-05      4.656E+00 
16.68   20.68    100.00   -3.791E-01   9.349E-01   -9.349E-01     1.088E+00     4.081E-06      7.089E-01       2.911E-01       2.819E-04      1.715E-07      6.705E+02 
14.00   21.12    100.00   1.766E-01   -9.876E-01   9.876E-01     5.585E+00     1.231E-06      8.626E-01       1.373E-01       1.763E-05      9.321E-08      2.482E+02 
28.44   32.09    100.00   -9.177E-01   5.454E-01   -5.454E-01     3.841E-02     8.602E-06      6.339E-01       3.661E-01       4.020E-04      6.247E-07      4.250E+02 
