 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
1157.52   1168.91    1163.47   -6.156E-02   4.573E-01   -4.573E-01     1.187E-01     2.489E-11      0.000E+00       0.000E+00       0.000E+00      2.339E-03      4.268E-03 
1820.86   1840.14    1836.69   1.837E+00   4.473E-01   -4.473E-01     1.173E-01     8.967E-09      0.000E+00       0.000E+00       0.000E+00      2.289E-03      4.267E-03 
1976.81   1987.59    1995.32   1.049E+00   -1.833E-01   1.833E-01     1.191E-01     2.479E-09      0.000E+00       0.000E+00       0.000E+00      2.335E-03      4.268E-03 
1153.81   1169.36    1159.33   6.007E-01   -7.059E-01   7.059E-01     1.196E-01     2.385E-09      0.000E+00       0.000E+00       0.000E+00      2.266E-03      4.267E-03 
1677.67   1686.92    1695.46   1.554E+00   9.467E-01   -9.467E-01     1.178E-01     7.559E-09      0.000E+00       0.000E+00       0.000E+00      2.308E-03      4.268E-03 
1478.81   1498.48    1484.24   6.486E-01   -3.155E-03   3.155E-03     1.183E-01     1.694E-09      0.000E+00       0.000E+00       0.000E+00      2.277E-03      4.267E-03 
1822.63   1841.10    1823.09   1.559E-01   6.107E-01   -6.107E-01     1.186E-01     6.441E-11      0.000E+00       0.000E+00       0.000E+00      2.279E-03      4.267E-03 
1518.55   1518.76    1520.11   -1.256E+00   1.678E-02   -1.678E-02     1.194E-01     6.027E-09      0.000E+00       0.000E+00       0.000E+00      2.371E-03      4.268E-03 
1985.85   2004.88    1987.94   1.024E-01   -4.732E-01   4.732E-01     1.193E-01     2.342E-11      0.000E+00       0.000E+00       0.000E+00      2.290E-03      4.267E-03 
1366.13   1371.55    1372.62   1.360E+00   5.147E-01   -5.147E-01     1.186E-01     8.721E-09      0.000E+00       0.000E+00       0.000E+00      2.227E-03      4.267E-03 
1579.79   1597.24    1583.48   1.265E+00   3.695E-01   -3.695E-01     1.185E-01     5.649E-09      0.000E+00       0.000E+00       0.000E+00      2.235E-03      4.267E-03 
1549.49   1554.02    1566.07   1.246E+00   2.766E-01   -2.766E-01     1.177E-01     5.698E-09      0.000E+00       0.000E+00       0.000E+00      2.313E-03      4.268E-03 
1870.63   1875.77    1882.87   2.160E+00   4.110E-02   -4.110E-02     1.174E-01     1.175E-08      0.000E+00       0.000E+00       0.000E+00      2.260E-03      4.267E-03 
1997.92   2016.06    2007.55   2.295E+00   5.077E-01   -5.077E-01     1.173E-01     1.162E-08      0.000E+00       0.000E+00       0.000E+00      2.249E-03      4.267E-03 
1391.64   1410.42    1396.39   6.604E-01   -7.591E-01   7.591E-01     1.189E-01     1.983E-09      0.000E+00       0.000E+00       0.000E+00      2.268E-03      4.267E-03 
1379.21   1391.43    1392.07   1.363E+00   2.757E-01   -2.757E-01     1.188E-01     8.603E-09      0.000E+00       0.000E+00       0.000E+00      2.272E-03      4.267E-03 
1970.82   1980.89    1981.82   2.425E+00   -4.228E-01   4.228E-01     1.195E-01     1.334E-08      0.000E+00       0.000E+00       0.000E+00      2.249E-03      4.267E-03 
1853.62   1873.33    1859.47   2.788E-01   -7.719E-01   7.719E-01     1.192E-01     1.992E-10      0.000E+00       0.000E+00       0.000E+00      2.302E-03      4.268E-03 
1956.93   1973.30    1971.90   2.338E+00   -3.510E-01   3.510E-01     1.180E-01     1.257E-08      0.000E+00       0.000E+00       0.000E+00      2.271E-03      4.267E-03 
1034.50   1047.10    1035.74   1.816E-01   -1.528E-01   1.528E-01     1.175E-01     2.710E-10      0.000E+00       0.000E+00       0.000E+00      2.271E-03      4.267E-03 
1923.80   1927.08    1936.73   -2.887E-01   -5.746E-01   5.746E-01     1.181E-01     1.983E-10      0.000E+00       0.000E+00       0.000E+00      2.359E-03      4.268E-03 
1032.96   1045.51    1035.25   3.722E-01   -3.268E-01   3.268E-01     1.186E-01     1.143E-09      0.000E+00       0.000E+00       0.000E+00      2.255E-03      4.267E-03 
1875.33   1885.33    1884.73   -4.899E-01   4.764E-01   -4.764E-01     1.183E-01     6.011E-10      0.000E+00       0.000E+00       0.000E+00      2.351E-03      4.268E-03 
1618.32   1621.77    1625.36   1.731E+00   5.650E-01   -5.650E-01     1.185E-01     1.008E-08      0.000E+00       0.000E+00       0.000E+00      2.232E-03      4.267E-03 
1604.21   1612.86    1605.96   -9.384E-01   2.719E-01   -2.719E-01     1.192E-01     3.013E-09      0.000E+00       0.000E+00       0.000E+00      2.346E-03      4.268E-03 
1751.79   1767.81    1761.93   1.067E-01   -4.257E-01   4.257E-01     1.194E-01     3.269E-11      0.000E+00       0.000E+00       0.000E+00      2.334E-03      4.268E-03 
1146.45   1159.38    1156.80   4.203E-01   -3.563E-01   3.563E-01     1.188E-01     1.183E-09      0.000E+00       0.000E+00       0.000E+00      2.325E-03      4.268E-03 
