#x	Curve1
165.621	9.81425E-23
167.558	8.44722E-23
169.518	7.54843E-23
171.501	6.49701E-23
173.507	5.69787E-23
175.536	4.90422E-23
179.666	4.22111E-23
181.767	3.63315E-23
183.893	3.18627E-23
188.22	2.64152E-23
190.421	2.1899E-23
194.902	1.8155E-23
199.488	1.53359E-23
201.821	1.2714E-23
206.569	1.05403E-23
211.43	8.73821E-24
213.902	7.24425E-24
218.935	6.00571E-24
224.086	4.97892E-24
229.359	4.20581E-24
234.755	3.48675E-24
240.279	2.89062E-24
245.932	2.39642E-24
251.718	2.02431E-24
260.654	1.67821E-24
266.787	1.39129E-24
276.258	1.17525E-24
286.065	9.74323E-25
292.796	8.07744E-25
303.19	6.82319E-25
317.625	5.65664E-25
328.9	4.77829E-25
340.576	3.96135E-25
356.791	3.34624E-25
378.15	2.82665E-25
396.154	2.38773E-25
419.869	2.01697E-25
450.208	1.73602E-25
482.74	1.52249E-25
523.676	1.33523E-25
568.084	1.17099E-25
623.465	1.02696E-25
684.246	9.35061E-26
750.951	8.51384E-26
833.799	7.75195E-26
936.615	7.32795E-26
1039.95	6.92713E-26
1168.18	6.67218E-26
1297.06	6.42661E-26
1457	6.30724E-26
1636.66	6.19008E-26
1838.48	6.19008E-26
2065.18	6.19008E-26
2293.02	6.30724E-26
2575.78	6.30724E-26
2893.39	6.54824E-26
3212.61	6.79846E-26
3608.75	7.05824E-26
4006.88	7.46664E-26
4500.97	7.75195E-26
4997.54	8.3557E-26
5613.78	8.67498E-26
6233.12	9.35061E-26
6920.78	1.00789E-25
7684.31	1.10695E-25
8532.07	1.19316E-25
9473.36	1.31043E-25
10518.5	1.41249E-25
11678.9	1.55131E-25
12817.5	1.70378E-25
14231.6	1.83647E-25
15801.7	2.01697E-25
17545	2.2152E-25
19255.4	2.43292E-25
21379.7	2.67204E-25
23464	2.9902E-25
26052.6	3.28409E-25
28592.4	3.60686E-25
31379.8	4.03633E-25
34841.8	4.43303E-25
38238.4	4.96088E-25
41966.2	5.55157E-25
46057.4	6.0972E-25
50547.4	6.82319E-25
55475.2	7.63564E-25
60883.3	8.54481E-25
66818.7	9.56225E-25

