 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     -1.000E+00     1.473E-02     7.367E-05     0.000E+00      3.294E-01      2.235E-01        4.470E-01       6.604E-07      8.321E+04
11.00    12.00    12.00     -1.000E+00     1.215E-02     6.185E-05     0.000E+00      3.223E-01      2.259E-01        4.518E-01       7.683E-07      5.763E+04
12.00    13.00    13.00     -1.000E+00     1.043E-02     5.266E-05     0.000E+00      3.164E-01      2.279E-01        4.558E-01       9.014E-07      4.109E+04
13.00    14.00    14.00     -1.000E+00     9.219E-03     4.537E-05     0.000E+00      3.114E-01      2.295E-01        4.591E-01       1.062E-06      3.002E+04
14.00    15.00    15.00     -1.000E+00     8.324E-03     3.950E-05     0.000E+00      3.071E-01      2.310E-01        4.619E-01       1.252E-06      2.239E+04
15.00    16.00    16.00     -1.000E+00     7.627E-03     3.470E-05     0.000E+00      3.035E-01      2.322E-01        4.643E-01       1.474E-06      1.701E+04
16.00    17.00    17.00     -1.000E+00     7.062E-03     3.072E-05     0.000E+00      3.003E-01      2.332E-01        4.664E-01       1.729E-06      1.312E+04
17.00    18.00    18.00     -1.000E+00     6.582E-03     2.739E-05     0.000E+00      2.976E-01      2.341E-01        4.683E-01       2.020E-06      1.026E+04
18.00    19.00    19.00     -1.000E+00     6.156E-03     2.458E-05     0.000E+00      2.951E-01      2.350E-01        4.699E-01       2.349E-06      8.120E+03
19.00    20.00    20.00     -1.000E+00     5.762E-03     2.217E-05     0.000E+00      2.929E-01      2.357E-01        4.714E-01       2.719E-06      6.497E+03
20.00    21.00    21.00     -1.000E+00     5.383E-03     2.011E-05     0.000E+00      2.910E-01      2.363E-01        4.727E-01       3.132E-06      5.248E+03
21.00    22.00    22.00     -1.000E+00     5.010E-03     1.832E-05     0.000E+00      2.892E-01      2.369E-01        4.738E-01       3.591E-06      4.276E+03
22.00    23.00    23.00     -1.000E+00     4.638E-03     1.675E-05     0.000E+00      2.877E-01      2.374E-01        4.749E-01       4.098E-06      3.512E+03
23.00    24.00    24.00     -1.000E+00     4.257E-03     1.538E-05     0.000E+00      2.862E-01      2.379E-01        4.758E-01       4.657E-06      2.904E+03
24.00    25.00    25.00     -1.000E+00     3.868E-03     1.417E-05     0.000E+00      2.849E-01      2.384E-01        4.767E-01       5.270E-06      2.417E+03
25.00    26.00    26.00     -1.000E+00     3.473E-03     1.310E-05     0.000E+00      2.838E-01      2.387E-01        4.775E-01       5.941E-06      2.024E+03
26.00    27.00    27.00     -1.000E+00     3.075E-03     1.215E-05     0.000E+00      2.827E-01      2.391E-01        4.782E-01       6.673E-06      1.703E+03
27.00    28.00    28.00     -1.000E+00     2.680E-03     1.129E-05     0.000E+00      2.817E-01      2.394E-01        4.789E-01       7.470E-06      1.441E+03
28.00    29.00    29.00     -1.000E+00     2.291E-03     1.053E-05     0.000E+00      2.807E-01      2.397E-01        4.795E-01       8.335E-06      1.224E+03
29.00    30.00    30.00     -1.000E+00     1.917E-03     9.835E-06     0.000E+00      2.799E-01      2.400E-01        4.801E-01       9.273E-06      1.044E+03
30.00    31.00    31.00     -1.000E+00     1.561E-03     9.209E-06     0.000E+00      2.791E-01      2.403E-01        4.806E-01       1.029E-05      8.947E+02
31.00    32.00    32.00     -1.000E+00     1.229E-03     8.642E-06     0.000E+00      2.784E-01      2.405E-01        4.811E-01       1.138E-05      7.691E+02
32.00    33.00    33.00     -1.000E+00     9.212E-04     8.125E-06     0.000E+00      2.777E-01      2.408E-01        4.815E-01       1.256E-05      6.633E+02
33.00    34.00    34.00     -1.000E+00     6.450E-04     7.653E-06     3.988E-36      2.770E-01      2.410E-01        4.820E-01       1.384E-05      5.739E+02
34.00    35.00    35.00     -1.000E+00     4.054E-04     7.221E-06     3.500E-35      2.764E-01      2.412E-01        4.824E-01       1.520E-05      4.980E+02
35.00    36.00    36.00     -1.000E+00     2.205E-04     6.825E-06     4.477E-34      2.759E-01      2.414E-01        4.827E-01       1.667E-05      4.333E+02
36.00    37.00    37.00     -1.000E+00     1.051E-04     6.461E-06     2.919E-33      2.754E-01      2.415E-01        4.831E-01       1.824E-05      3.780E+02
37.00    38.00    38.00     -1.000E+00     4.493E-05     6.124E-06     9.544E-33      2.749E-01      2.417E-01        4.834E-01       1.993E-05      3.305E+02
38.00    39.00    39.00     -1.000E+00     2.020E-05     5.814E-06     6.657E-32      2.744E-01      2.419E-01        4.837E-01       2.173E-05      2.897E+02
