 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
10.00    11.00    11.00     1.000E-02     1.473E-02     7.367E-09     0.000E+00      3.618E-01      2.112E-01        4.225E-01       6.180E-07      7.577E+00
11.00    12.00    12.00     1.000E-02     1.214E-02     6.185E-09     0.000E+00      3.571E-01      2.122E-01        4.245E-01       1.034E-06      5.201E+00
12.00    13.00    13.00     1.000E-02     1.043E-02     5.266E-09     0.000E+00      3.536E-01      2.128E-01        4.256E-01       1.620E-06      3.676E+00
13.00    14.00    14.00     1.000E-02     9.219E-03     4.537E-09     0.000E+00      3.511E-01      2.130E-01        4.259E-01       2.411E-06      2.662E+00
14.00    15.00    15.00     1.000E-02     8.324E-03     3.950E-09     0.000E+00      3.494E-01      2.129E-01        4.258E-01       3.443E-06      1.968E+00
15.00    16.00    16.00     1.000E-02     7.627E-03     3.470E-09     0.000E+00      3.483E-01      2.126E-01        4.252E-01       4.761E-06      1.482E+00
16.00    17.00    17.00     1.000E-02     7.062E-03     3.072E-09     0.000E+00      3.477E-01      2.122E-01        4.244E-01       6.412E-06      1.133E+00
17.00    18.00    18.00     1.000E-02     6.582E-03     2.739E-09     0.000E+00      3.476E-01      2.116E-01        4.232E-01       8.451E-06      8.782E-01
18.00    19.00    19.00     1.000E-02     6.156E-03     2.458E-09     0.000E+00      3.478E-01      2.109E-01        4.218E-01       1.094E-05      6.890E-01
19.00    20.00    20.00     1.000E-02     5.762E-03     2.217E-09     0.000E+00      3.483E-01      2.101E-01        4.202E-01       1.395E-05      5.464E-01
20.00    21.00    21.00     1.000E-02     5.384E-03     2.011E-09     0.000E+00      3.489E-01      2.091E-01        4.182E-01       1.755E-05      4.377E-01
21.00    22.00    22.00     1.000E-02     5.010E-03     1.832E-09     0.000E+00      3.497E-01      2.080E-01        4.160E-01       2.182E-05      3.537E-01
22.00    23.00    23.00     1.000E-02     4.638E-03     1.675E-09     0.000E+00      3.506E-01      2.067E-01        4.135E-01       2.687E-05      2.882E-01
23.00    24.00    24.00     1.000E-02     4.257E-03     1.538E-09     0.000E+00      3.515E-01      2.053E-01        4.107E-01       3.280E-05      2.365E-01
24.00    25.00    25.00     1.000E-02     3.868E-03     1.417E-09     0.000E+00      3.523E-01      2.038E-01        4.076E-01       3.971E-05      1.955E-01
25.00    26.00    26.00     1.000E-02     3.474E-03     1.310E-09     0.000E+00      3.532E-01      2.021E-01        4.041E-01       4.773E-05      1.626E-01
26.00    27.00    27.00     1.000E-02     3.076E-03     1.215E-09     0.000E+00      3.539E-01      2.002E-01        4.004E-01       5.700E-05      1.361E-01
27.00    28.00    28.00     1.000E-02     2.681E-03     1.129E-09     0.000E+00      3.544E-01      1.981E-01        3.962E-01       6.767E-05      1.145E-01
28.00    29.00    29.00     1.000E-02     2.292E-03     1.053E-09     0.000E+00      3.548E-01      1.959E-01        3.917E-01       7.988E-05      9.687E-02
29.00    30.00    30.00     1.000E-02     1.917E-03     9.835E-10     0.000E+00      3.549E-01      1.934E-01        3.868E-01       9.381E-05      8.238E-02
30.00    31.00    31.00     1.000E-02     1.562E-03     9.209E-10     0.000E+00      3.547E-01      1.908E-01        3.815E-01       1.096E-04      7.039E-02
31.00    32.00    32.00     1.000E-02     1.229E-03     8.642E-10     0.000E+00      3.542E-01      1.879E-01        3.757E-01       1.275E-04      6.044E-02
32.00    33.00    33.00     1.000E-02     9.217E-04     8.125E-10     0.000E+00      3.533E-01      1.847E-01        3.695E-01       1.476E-04      5.214E-02
33.00    34.00    34.00     1.000E-02     6.453E-04     7.653E-10     2.601E-34      3.519E-01      1.814E-01        3.627E-01       1.702E-04      4.518E-02
34.00    35.00    35.00     1.000E-02     4.055E-04     7.221E-10     1.634E-33      3.500E-01      1.777E-01        3.554E-01       1.953E-04      3.933E-02
