Mv1      lamL      xs(fb)          r      Acc     SR         ds         Sobs      xs_lim(fb)
100.0    1.00    6.8186e+01    0.651     0.02    EM10      3.256      58.00      100.26
150.0    1.00    1.0225e+01    0.110     0.02    EM10      0.515      58.00      83.59
200.0    1.00    2.5247e+00    0.029     0.02    EM10      0.132      58.00      76.43
250.0    1.00    8.1611e-01    0.011     0.02    EM10      0.045      58.00      68.46
300.0    1.00    3.1434e-01    0.005     0.03    EM10      0.019      58.00      60.21
350.0    1.00    1.3605e-01    0.002     0.03    EM10      0.009      58.00      50.38
400.0    1.00    6.4432e-02    0.001     0.03    EM10      0.004      58.00      52.17
450.0    1.00    3.2631e-02    0.001     0.03    EM10      0.002      58.00      54.28
500.0    1.00    1.7425e-02    0.000     0.04    EM10      0.001      58.00      44.63
550.0    1.00    9.7202e-03    0.000     0.04    EM10      0.001      58.00      41.09
600.0    1.00    5.6196e-03    0.000     0.04    EM10      0.000      58.00      42.39
650.0    1.00    3.3479e-03    0.000     0.04    EM10      0.000      58.00      38.81
700.0    1.00    2.0474e-03    0.000     0.04    EM10      0.000      58.00      39.77
750.0    1.00    1.2778e-03    0.000     0.04    EM10      0.000      58.00      40.47
800.0    1.00    8.1528e-04    0.000     0.04    EM10      0.000      58.00      37.36
850.0    1.00    5.2690e-04    0.000     0.04    EM10      0.000      58.00      37.02
900.0    1.00    3.4660e-04    0.000     0.04    EM10      0.000      58.00      36.68
950.0    1.00    2.3059e-04    0.000     0.04    EM10      0.000      58.00      35.70
