Mv1      Mv2      xs(fb)            r          Acc     SR         ds         Sobs      xs_lim(fb)
120.0    121.0    1.2041e+03    6.796e+00     0.05    IM7      58.343      274.00      227.36
120.0    131.0    1.0283e+03    4.284e+00     0.03    IM7      42.984      274.00      284.69
120.0    141.0    8.9045e+02    2.553e+00     0.06    IM6      48.725      692.00      372.26
120.0    151.0    7.7694e+02    3.094e+00     0.03    IM7      31.772      274.00      281.59
120.0    161.0    6.8360e+02    3.044e+00     0.04    IM7      29.514      274.00      249.74
120.0    171.0    6.0710e+02    2.987e+00     0.04    IM7      27.514      274.00      224.36
120.0    181.0    5.4248e+02    2.574e+00     0.04    IM7      24.157      274.00      228.38
120.0    191.0    4.8723e+02    2.800e+00     0.05    IM7      23.817      274.00      189.18
120.0    201.0    4.3991e+02    2.397e+00     0.04    IM7      20.953      274.00      196.28
120.0    211.0    3.9919e+02    2.380e+00     0.05    IM7      19.868      274.00      178.72
120.0    221.0    3.6374e+02    2.107e+00     0.05    IM7      17.851      274.00      181.84
120.0    231.0    3.3271e+02    2.092e+00     0.05    IM7      16.993      274.00      167.11
120.0    241.0    3.0524e+02    2.318e+00     0.01    EM10      8.067      58.00      147.25
120.0    251.0    2.8123e+02    2.330e+00     0.01    EM10      7.748      58.00      134.52
120.0    261.0    2.5980e+02    1.936e+00     0.01    EM10      6.805      58.00      145.58
120.0    271.0    2.4034e+02    2.117e+00     0.02    EM10      6.818      58.00      124.12
120.0    281.0    2.2317e+02    1.907e+00     0.01    EM10      6.241      58.00      126.01
120.0    291.0    2.0766e+02    1.948e+00     0.02    EM10      6.072      58.00      114.79
120.0    301.0    1.9346e+02    1.986e+00     0.02    EM10      5.906      58.00      104.86
120.0    311.0    1.8033e+02    1.843e+00     0.02    EM10      5.493      58.00      104.28
120.0    321.0    1.6889e+02    1.665e+00     0.02    EM10      5.057      58.00      106.77
120.0    331.0    1.5820e+02    1.719e+00     0.02    EM10      4.963      58.00      97.04
120.0    341.0    1.4840e+02    1.730e+00     0.02    EM10      4.816      58.00      90.37
120.0    351.0    1.3941e+02    1.605e+00     0.02    EM10      4.497      58.00      90.73
120.0    361.0    1.3137e+02    1.408e+00     0.02    EM10      4.095      58.00      96.17
120.0    371.0    1.2378e+02    1.377e+00     0.02    EM10      3.928      58.00      92.40
120.0    381.0    1.1680e+02    1.401e+00     0.02    EM10      3.842      58.00      85.80
120.0    391.0    1.1016e+02    1.255e+00     0.02    EM10      3.536      58.00      89.44
120.0    401.0    1.0429e+02    1.291e+00     0.02    EM10      3.483      58.00      82.47
120.0    411.0    9.8605e+01    1.220e+00     0.02    EM10      3.293      58.00      82.07
120.0    421.0    9.3458e+01    1.163e+00     0.02    EM10      3.130      58.00      81.27
120.0    431.0    8.8555e+01    1.230e+00     0.02    EM10      3.127      58.00      73.11
120.0    441.0    8.4100e+01    1.105e+00     0.02    EM10      2.892      58.00      76.63
120.0    451.0    7.9785e+01    1.077e+00     0.02    EM10      2.779      58.00      74.44
120.0    461.0    7.5757e+01    1.143e+00     0.03    EM10      2.785      58.00      66.87
120.0    471.0    7.2189e+01    1.050e+00     0.03    EM10      2.606      58.00      69.00
120.0    481.0    6.8647e+01    9.948e-01     0.02    EM10      2.474      58.00      68.98
120.0    491.0    6.5422e+01    9.244e-01     0.02    EM10      2.329      58.00      70.41
125.0    430.0    8.1775e+01    1.000e+00     0.02    EM10      2.716      58.00      81.76
125.0    440.0    7.7548e+01    9.746e-01     0.02    EM10      2.609      58.00      79.43
125.0    450.0    7.3634e+01    9.519e-01     0.02    EM10      2.512      58.00      77.09
125.0    460.0    6.9956e+01    9.145e-01     0.02    EM10      2.399      58.00      76.05
130.0    131.0    8.7797e+02    5.028e+00     0.05    IM7      42.843      274.00      208.76
130.0    141.0    7.5744e+02    3.094e+00     0.03    IM7      31.358      274.00      274.17
130.0    151.0    6.6136e+02    2.711e+00     0.03    IM7      27.430      274.00      267.76
130.0    161.0    5.8225e+02    2.426e+00     0.03    IM7      24.339      274.00      259.42
130.0    171.0    5.1695e+02    2.347e+00     0.04    IM7      22.531      274.00      236.38
130.0    181.0    4.6095e+02    2.355e+00     0.04    IM7      21.279      274.00      209.31
130.0    191.0    4.1408e+02    2.058e+00     0.04    IM7      18.861      274.00      212.23
130.0    201.0    3.7392e+02    1.926e+00     0.04    IM7      17.329      274.00      203.33
130.0    211.0    3.3892e+02    1.927e+00     0.05    IM7      16.481      274.00      183.83
