x	Curve1
9.91579	1.61792
10.3004	1.64854
10.8825	1.7407
11.7929	1.80191
13.1078	1.73972
14.2646	1.73928
16.4006	1.76937
18.1524	1.76884
20.6949	1.79897
23.0999	1.79839
26.0034	1.79777
28.7809	1.79724
33.6552	1.82724
38.0459	1.79578
42.1097	1.79525
59.3105	1.8859
67.3324	1.88524
83.1849	1.94577
95.6415	1.91422
99.3515	1.94484
100.195	1.97561
101.474	1.97554
103.205	1.97545
103.643	1.97543
105.411	1.97534
107.209	1.97526
108.577	1.94437
109.499	1.97515
111.367	2.03669
113.267	2.09823
115.687	2.19057
119.163	2.31369
121.709	2.37521
124.309	2.46755
126.43	2.52909
128.587	2.62145
130.78	2.71381
133.011	2.77536
135.28	2.86772
137.587	2.96008
139.934	3.02163
142.321	3.11399
144.138	3.20637
146.597	3.32955
148.468	3.42193
151.641	3.57591
154.227	3.7299
156.196	3.82228
159.534	3.97626
162.943	4.16105
165.722	4.28422
167.838	4.43824
170.701	4.56142
173.613	4.71541
176.574	4.80777
178.074	4.931
181.879	5.08497
183.423	5.17738
186.552	5.30055
188.137	5.42378
190.538	5.54698
192.971	5.67018
195.434	5.79338
197.929	5.85494
198.768	5.97819
202.159	6.13218
203.875	6.22459
205.607	6.34781
208.232	6.47101
210	6.56342
210.89	6.65584
212.681	6.74825
214.488	6.84065
215.396	6.90227
216.309	6.99469
218.146	7.05628
219.999	7.17951
220.931	7.30275
222.807	7.39516
224.7	7.51838
226.608	7.61078
228.533	7.73401
230.474	7.82641
231.45	7.94966
233.416	8.07288
234.405	8.10367
235.398	8.16528
236.396	8.22689
238.403	8.28848
239.414	8.35009
240.428	8.41171
241.447	8.47332
242.47	8.53493
243.498	8.59654
244.529	8.65815
245.566	8.71976
246.606	8.78137
248.7	8.9046
249.754	8.96621
250.813	9.05863
251.875	9.18188
252.943	9.30512
254.015	9.39755
255.091	9.5208
256.172	9.58241
257.257	9.70565
258.348	9.8289
259.442	9.92132
260.542	10.1062
261.646	10.5992
263.868	10.7841
264.986	11.2771
266.109	11.6777
267.236	11.4312
268.369	11.6777
269.506	11.955
279.96	11.9856
292.052	11.9854
304.666	11.9852
317.826	11.985
331.553	11.9848
345.873	11.9845
360.812	11.9843
376.396	11.9841
392.654	11.9839
409.613	11.9836
427.305	11.9834
445.761	11.9832
465.014	11.983
485.099	11.9828
506.051	11.9825
527.909	11.9823
550.71	11.9821
574.496	11.9819
599.31	11.9817
625.195	11.9814
652.198	11.9812
680.368	11.981
709.754	11.9808
740.41	11.9805
772.389	11.9803
805.75	11.9801
840.552	11.9799
876.857	11.9797
914.73	11.9794
954.239	11.9792
995.454	11.979
1038.45	11.9788
1083.3	11.9786
1130.09	11.9783
1178.9	11.9781
1229.82	11.9779
1282.94	11.9777
1338.35	11.9774
1396.16	11.9772
1456.46	11.977
1519.37	11.9768
1584.99	11.9766
1653.45	11.9763
1724.87	11.9761
1799.37	11.9759
1877.08	11.9757
1958.16	11.9755

