Mv1      lamL      xs(fb) 
100.0    1.00    8.8826e+01 
100.0    2.00    3.5496e+02 
100.0    3.00    7.9813e+02 
100.0    4.00    1.4221e+03 
100.0    5.00    2.2196e+03 
100.0    6.00    3.1922e+03 
100.0    7.00    4.3462e+03 
100.0    8.00    5.6832e+03 
100.0    9.00    7.1898e+03 
100.0    10.00    8.8737e+03 
100.0    11.00    1.0748e+04 
100.0    12.00    1.2788e+04 
110.0    1.00    5.7245e+01 
110.0    2.00    2.2924e+02 
110.0    3.00    5.1579e+02 
110.0    4.00    9.1599e+02 
110.0    5.00    1.4320e+03 
110.0    6.00    2.0630e+03 
110.0    7.00    2.8084e+03 
110.0    8.00    3.6647e+03 
110.0    9.00    4.6478e+03 
110.0    10.00    5.7374e+03 
110.0    11.00    6.9379e+03 
110.0    12.00    8.2524e+03 
120.0    1.00    3.8323e+01 
120.0    2.00    1.5338e+02 
120.0    3.00    3.4523e+02 
120.0    4.00    6.1359e+02 
120.0    5.00    9.5744e+02 
120.0    6.00    1.3783e+03 
120.0    7.00    1.8797e+03 
120.0    8.00    2.4545e+03 
120.0    9.00    3.1084e+03 
120.0    10.00    3.8349e+03 
120.0    11.00    4.6334e+03 
120.0    12.00    5.5210e+03 
130.0    1.00    2.6440e+01 
130.0    2.00    1.0596e+02 
130.0    3.00    2.3792e+02 
130.0    4.00    4.2180e+02 
130.0    5.00    6.5995e+02 
130.0    6.00    9.5173e+02 
130.0    7.00    1.2954e+03 
130.0    8.00    1.6928e+03 
130.0    9.00    2.1373e+03 
130.0    10.00    2.6387e+03 
130.0    11.00    3.1927e+03 
130.0    12.00    3.8126e+03 
140.0    1.00    1.8669e+01 
140.0    2.00    7.4586e+01 
140.0    3.00    1.6815e+02 
140.0    4.00    2.9895e+02 
140.0    5.00    4.6687e+02 
140.0    6.00    6.7284e+02 
140.0    7.00    9.1436e+02 
140.0    8.00    1.1940e+03 
140.0    9.00    1.5141e+03 
140.0    10.00    1.8680e+03 
140.0    11.00    2.2626e+03 
140.0    12.00    2.6895e+03 
150.0    1.00    1.3475e+01 
150.0    2.00    5.3891e+01 
150.0    3.00    1.2154e+02 
150.0    4.00    2.1603e+02 
150.0    5.00    3.3702e+02 
150.0    6.00    4.8646e+02 
150.0    7.00    6.6167e+02 
150.0    8.00    8.6488e+02 
150.0    9.00    1.0913e+03 
150.0    10.00    1.3483e+03 
150.0    11.00    1.6316e+03 
150.0    12.00    1.9434e+03 
160.0    1.00    9.9326e+00 
160.0    2.00    3.9755e+01 
160.0    3.00    8.9409e+01 
160.0    4.00    1.5894e+02 
160.0    5.00    2.4821e+02 
160.0    6.00    3.5731e+02 
160.0    7.00    4.8657e+02 
160.0    8.00    6.3513e+02 
160.0    9.00    8.0403e+02 
160.0    10.00    9.9307e+02 
160.0    11.00    1.2025e+03 
160.0    12.00    1.4326e+03 
170.0    1.00    7.4377e+00 
170.0    2.00    2.9745e+01 
170.0    3.00    6.6918e+01 
170.0    4.00    1.1895e+02 
170.0    5.00    1.8565e+02 
170.0    6.00    2.6742e+02 
170.0    7.00    3.6392e+02 
170.0    8.00    4.7623e+02 
170.0    9.00    6.0163e+02 
170.0    10.00    7.4236e+02 
170.0    11.00    8.9961e+02 
170.0    12.00    1.0688e+03 
180.0    1.00    5.6427e+00 
