Mv1      Mv2      xs(fb) 
100.0    200.00    643.60 
110.0    210.00    481.49 
120.0    220.00    367.29 
130.0    230.00    285.07 
140.0    240.00    224.48 
150.0    250.00    179.01 
160.0    260.00    144.38 
170.0    270.00    117.61 
180.0    280.00    96.71 
190.0    290.00    80.22 
200.0    300.00    66.89 
210.0    310.00    56.20 
220.0    320.00    47.48 
230.0    330.00    40.35 
240.0    340.00    34.45 
250.0    350.00    29.56 
260.0    360.00    25.46 
270.0    370.00    22.04 
280.0    380.00    19.15 
290.0    390.00    16.67 
300.0    400.00    14.59 
310.0    410.00    12.79 
320.0    420.00    11.26 
330.0    430.00    9.91 
340.0    440.00    8.77 
350.0    450.00    7.77 
360.0    460.00    6.91 
370.0    470.00    6.15 
380.0    480.00    5.49 
390.0    490.00    4.90 
400.0    500.00    4.39 
