Mv1      lamL   xs_14TeV    xs_lim_36.1(fb)    xs_lim_100(fb)    xs_lim_3000(fb)
100.0    1.00       88.83          111.05             66.72             12.18
100.0    2.00       354.96          131.50             79.01             14.42
100.0    3.00       798.13          171.13             102.82             18.77
100.0    4.00       1422.10          255.77             153.68             28.06
100.0    5.00       2219.60          283.97             170.62             31.15
100.0    6.00       3192.20          461.46             277.26             50.62
100.0    7.00       4346.20          551.88             331.59             60.54
100.0    8.00       5683.20          744.00             447.02             81.61
100.0    9.00       7189.80          853.13             512.59             93.59
100.0    10.00       8873.70          1085.38             652.13             119.06
100.0    11.00       10748.00          1268.34             762.06             139.13
100.0    12.00       12788.00          1359.47             816.81             149.13
110.0    1.00       57.24          94.78             56.95             10.40
110.0    2.00       229.24          126.22             75.84             13.85
110.0    3.00       515.79          151.63             91.10             16.63
110.0    4.00       915.99          181.53             109.07             19.91
110.0    5.00       1432.00          256.85             154.32             28.18
110.0    6.00       2063.00          307.37             184.68             33.72
110.0    7.00       2808.40          370.04             222.33             40.59
110.0    8.00       3664.70          470.76             282.85             51.64
110.0    9.00       4647.80          556.42             334.32             61.04
110.0    10.00       5737.40          673.44             404.62             73.87
110.0    11.00       6937.90          819.93             492.64             89.94
110.0    12.00       8252.40          990.43             595.08             108.65
120.0    1.00       38.32          98.39             59.12             10.79
120.0    2.00       153.38          129.46             77.78             14.20
120.0    3.00       345.23          144.95             87.09             15.90
120.0    4.00       613.59          155.64             93.51             17.07
120.0    5.00       957.44          180.68             108.56             19.82
120.0    6.00       1378.30          226.14             135.87             24.81
120.0    7.00       1879.70          263.94             158.58             28.95
120.0    8.00       2454.50          353.83             212.59             38.81
120.0    9.00       3108.40          399.85             240.24             43.86
120.0    10.00       3834.90          513.23             308.36             56.30
120.0    11.00       4633.40          565.91             340.02             62.08
120.0    12.00       5521.00          674.90             405.50             74.03
130.0    1.00       26.44          126.63             76.08             13.89
130.0    2.00       105.96          94.81             56.96             10.40
130.0    3.00       237.92          118.22             71.03             12.97
130.0    4.00       421.80          126.20             75.82             13.84
130.0    5.00       659.95          161.00             96.73             17.66
130.0    6.00       951.73          194.02             116.57             21.28
130.0    7.00       1295.40          227.72             136.82             24.98
130.0    8.00       1692.80          248.22             149.14             27.23
130.0    9.00       2137.30          316.19             189.98             34.69
130.0    10.00       2638.70          357.02             214.51             39.16
130.0    11.00       3192.70          413.62             248.51             45.37
130.0    12.00       3812.60          477.11             286.66             52.34
140.0    1.00       18.67          96.95             58.25             10.63
140.0    2.00       74.59          92.73             55.71             10.17
140.0    3.00       168.15          106.96             64.26             11.73
140.0    4.00       298.95          108.28             65.06             11.88
140.0    5.00       466.87          142.18             85.43             15.60
140.0    6.00       672.84          157.78             94.80             17.31
140.0    7.00       914.36          175.47             105.43             19.25
140.0    8.00       1194.00          199.95             120.14             21.93
140.0    9.00       1514.10          234.95             141.17             25.77
140.0    10.00       1868.00          275.47             165.51             30.22
140.0    11.00       2262.60          321.86             193.38             35.31
140.0    12.00       2689.50          360.97             216.88             39.60
150.0    1.00       13.47          97.50             58.58             10.70
150.0    2.00       53.89          98.86             59.40             10.84
150.0    3.00       121.54          102.33             61.49             11.23
150.0    4.00       216.03          109.93             66.05             12.06
150.0    5.00       337.02          137.84             82.82             15.12
150.0    6.00       486.46          130.32             78.30             14.30
150.0    7.00       661.67          158.47             95.21             17.38
150.0    8.00       864.88          154.50             92.83             16.95
150.0    9.00       1091.30          200.26             120.33             21.97
150.0    10.00       1348.30          217.19             130.49             23.82
150.0    11.00       1631.60          241.92             145.35             26.54
150.0    12.00       1943.40          299.72             180.08             32.88
160.0    1.00       9.93          97.14             58.37             10.66
160.0    2.00       39.76          95.43             57.34             10.47
160.0    3.00       89.41          99.24             59.63             10.89
160.0    4.00       158.94          97.90             58.82             10.74
160.0    5.00       248.21          129.06             77.54             14.16
160.0    6.00       357.31          116.21             69.82             12.75
160.0    7.00       486.57          137.56             82.65             15.09
160.0    8.00       635.13          135.90             81.65             14.91
160.0    9.00       804.03          156.39             93.96             17.16
160.0    10.00       993.07          172.47             103.63             18.92
160.0    11.00       1202.50          191.18             114.87             20.97
160.0    12.00       1432.60          230.40             138.43             25.27
