 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    351.00    351.00     1.000E+00     1.036E-02     7.158E-08      0.000E+00      0.000E+00        0.000E+00       1.293E-03      4.263E-03
400.00    401.00    401.00     1.000E+00     1.492E-02     5.484E-08      0.000E+00      0.000E+00        0.000E+00       1.503E-03      4.264E-03
450.00    451.00    451.00     1.000E+00     2.023E-02     4.335E-08      0.000E+00      0.000E+00        0.000E+00       1.656E-03      4.265E-03
500.00    501.00    501.00     1.000E+00     2.625E-02     3.513E-08      0.000E+00      0.000E+00        0.000E+00       1.769E-03      4.265E-03
550.00    551.00    551.00     1.000E+00     3.297E-02     2.904E-08      0.000E+00      0.000E+00        0.000E+00       1.855E-03      4.266E-03
600.00    601.00    601.00     1.000E+00     4.036E-02     2.441E-08      0.000E+00      0.000E+00        0.000E+00       1.922E-03      4.266E-03
650.00    651.00    651.00     1.000E+00     4.842E-02     2.080E-08      0.000E+00      0.000E+00        0.000E+00       1.974E-03      4.266E-03
700.00    701.00    701.00     1.000E+00     5.716E-02     1.794E-08      0.000E+00      0.000E+00        0.000E+00       2.017E-03      4.266E-03
750.00    751.00    751.00     1.000E+00     6.657E-02     1.563E-08      0.000E+00      0.000E+00        0.000E+00       2.051E-03      4.266E-03
800.00    801.00    801.00     1.000E+00     7.664E-02     1.374E-08      0.000E+00      0.000E+00        0.000E+00       2.079E-03      4.267E-03
850.00    851.00    851.00     1.000E+00     8.740E-02     1.217E-08      0.000E+00      0.000E+00        0.000E+00       2.103E-03      4.267E-03
900.00    901.00    901.00     1.000E+00     9.884E-02     1.086E-08      0.000E+00      0.000E+00        0.000E+00       2.122E-03      4.267E-03
950.00    951.00    951.00     1.000E+00     1.110E-01     9.748E-09      0.000E+00      0.000E+00        0.000E+00       2.139E-03      4.267E-03
1000.00    1001.00    1001.00     1.000E+00     1.238E-01     8.799E-09      0.000E+00      0.000E+00        0.000E+00       2.153E-03      4.267E-03
1050.00    1051.00    1051.00     1.000E+00     1.373E-01     7.982E-09      0.000E+00      0.000E+00        0.000E+00       2.166E-03      4.267E-03
1100.00    1101.00    1101.00     1.000E+00     1.516E-01     7.273E-09      0.000E+00      0.000E+00        0.000E+00       2.176E-03      4.267E-03
1150.00    1151.00    1151.00     1.000E+00     1.663E-01     6.655E-09      0.000E+00      0.000E+00        0.000E+00       2.186E-03      4.267E-03
1200.00    1201.00    1201.00     1.000E+00     1.820E-01     6.112E-09      0.000E+00      0.000E+00        0.000E+00       2.194E-03      4.267E-03
1250.00    1251.00    1251.00     1.000E+00     1.984E-01     5.633E-09      0.000E+00      0.000E+00        0.000E+00       2.201E-03      4.267E-03
1300.00    1301.00    1301.00     1.000E+00     2.156E-01     5.209E-09      0.000E+00      0.000E+00        0.000E+00       2.208E-03      4.267E-03
1350.00    1351.00    1351.00     1.000E+00     2.335E-01     4.830E-09      0.000E+00      0.000E+00        0.000E+00       2.213E-03      4.267E-03
1400.00    1401.00    1401.00     1.000E+00     2.522E-01     4.492E-09      0.000E+00      0.000E+00        0.000E+00       2.218E-03      4.267E-03
1450.00    1451.00    1451.00     1.000E+00     2.716E-01     4.187E-09      0.000E+00      0.000E+00        0.000E+00       2.223E-03      4.267E-03
1500.00    1501.00    1501.00     1.000E+00     2.919E-01     3.913E-09      0.000E+00      0.000E+00        0.000E+00       2.227E-03      4.267E-03
1550.00    1551.00    1551.00     1.000E+00     3.129E-01     3.665E-09      0.000E+00      0.000E+00        0.000E+00       2.231E-03      4.267E-03
1600.00    1601.00    1601.00     1.000E+00     3.347E-01     3.439E-09      0.000E+00      0.000E+00        0.000E+00       2.234E-03      4.267E-03
1650.00    1651.00    1651.00     1.000E+00     3.574E-01     3.234E-09      0.000E+00      0.000E+00        0.000E+00       2.237E-03      4.267E-03
1700.00    1701.00    1701.00     1.000E+00     3.808E-01     3.047E-09      0.000E+00      0.000E+00        0.000E+00       2.240E-03      4.267E-03
1750.00    1751.00    1751.00     1.000E+00     4.051E-01     2.875E-09      0.000E+00      0.000E+00        0.000E+00       2.243E-03      4.267E-03
1800.00    1801.00    1801.00     1.000E+00     4.301E-01     2.718E-09      0.000E+00      0.000E+00        0.000E+00       2.245E-03      4.267E-03
1850.00    1851.00    1851.00     1.000E+00     4.561E-01     2.573E-09      0.000E+00      0.000E+00        0.000E+00       2.247E-03      4.267E-03
1900.00    1901.00    1901.00     1.000E+00     4.828E-01     2.440E-09      0.000E+00      0.000E+00        0.000E+00       2.249E-03      4.267E-03
1950.00    1951.00    1951.00     1.000E+00     5.104E-01     2.316E-09      0.000E+00      0.000E+00        0.000E+00       2.251E-03      4.267E-03
2000.00    2001.00    2001.00     1.000E+00     5.389E-01     2.202E-09      0.000E+00      0.000E+00        0.000E+00       2.253E-03      4.267E-03
2050.00    2051.00    2051.00     1.000E+00     5.682E-01     2.096E-09      0.000E+00      0.000E+00        0.000E+00       2.254E-03      4.267E-03
2100.00    2101.00    2101.00     1.000E+00     5.984E-01     1.997E-09      0.000E+00      0.000E+00        0.000E+00       2.256E-03      4.267E-03
2150.00    2151.00    2151.00     1.000E+00     6.295E-01     1.905E-09      0.000E+00      0.000E+00        0.000E+00       2.257E-03      4.267E-03
2200.00    2201.00    2201.00     1.000E+00     6.615E-01     1.820E-09      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
2250.00    2251.00    2251.00     1.000E+00     6.944E-01     1.740E-09      0.000E+00      0.000E+00        0.000E+00       2.260E-03      4.267E-03
2300.00    2301.00    2301.00     1.000E+00     7.282E-01     1.665E-09      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
2350.00    2351.00    2351.00     1.000E+00     7.629E-01     1.595E-09      0.000E+00      0.000E+00        0.000E+00       2.262E-03      4.267E-03
