 Mv1      Mv2        Mvp         lamL         Omega        protonSI     Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
350.00    370.00    370.00     1.257E+01     2.038E-06     1.130E-05      0.000E+00      0.000E+00        0.000E+00       7.024E-03      4.288E-03
400.00    420.00    420.00     1.257E+01     4.349E-06     8.659E-06      0.000E+00      0.000E+00        0.000E+00       2.891E-03      4.270E-03
450.00    470.00    470.00     1.257E+01     8.370E-06     6.845E-06      0.000E+00      0.000E+00        0.000E+00       1.076E-03      4.262E-03
500.00    520.00    520.00     1.257E+01     1.480E-05     5.547E-06      0.000E+00      0.000E+00        0.000E+00       3.110E-04      4.259E-03
550.00    570.00    570.00     1.257E+01     2.439E-05     4.586E-06      0.000E+00      0.000E+00        0.000E+00       3.994E-05      4.258E-03
600.00    620.00    620.00     1.257E+01     3.788E-05     3.855E-06      0.000E+00      0.000E+00        0.000E+00       5.638E-06      4.258E-03
650.00    670.00    670.00     1.257E+01     5.593E-05     3.285E-06      0.000E+00      0.000E+00        0.000E+00       8.338E-05      4.258E-03
700.00    720.00    720.00     1.257E+01     7.917E-05     2.833E-06      0.000E+00      0.000E+00        0.000E+00       2.109E-04      4.259E-03
750.00    770.00    770.00     1.257E+01     1.081E-04     2.468E-06      0.000E+00      0.000E+00        0.000E+00       3.566E-04      4.259E-03
800.00    820.00    820.00     1.257E+01     1.431E-04     2.170E-06      0.000E+00      0.000E+00        0.000E+00       5.044E-04      4.260E-03
850.00    870.00    870.00     1.257E+01     1.845E-04     1.922E-06      0.000E+00      0.000E+00        0.000E+00       6.465E-04      4.260E-03
900.00    920.00    920.00     1.257E+01     2.326E-04     1.715E-06      0.000E+00      0.000E+00        0.000E+00       7.792E-04      4.261E-03
950.00    970.00    970.00     1.257E+01     2.875E-04     1.539E-06      0.000E+00      0.000E+00        0.000E+00       9.013E-04      4.262E-03
1000.00    1020.00    1020.00     1.257E+01     3.494E-04     1.389E-06      0.000E+00      0.000E+00        0.000E+00       1.013E-03      4.262E-03
1050.00    1070.00    1070.00     1.257E+01     4.184E-04     1.260E-06      0.000E+00      0.000E+00        0.000E+00       1.113E-03      4.262E-03
1100.00    1120.00    1120.00     1.257E+01     4.948E-04     1.148E-06      0.000E+00      0.000E+00        0.000E+00       1.205E-03      4.263E-03
1150.00    1170.00    1170.00     1.257E+01     5.785E-04     1.051E-06      0.000E+00      0.000E+00        0.000E+00       1.287E-03      4.263E-03
1200.00    1220.00    1220.00     1.257E+01     6.696E-04     9.651E-07      0.000E+00      0.000E+00        0.000E+00       1.362E-03      4.264E-03
1250.00    1270.00    1270.00     1.257E+01     7.684E-04     8.895E-07      0.000E+00      0.000E+00        0.000E+00       1.429E-03      4.264E-03
1300.00    1320.00    1320.00     1.257E+01     8.749E-04     8.225E-07      0.000E+00      0.000E+00        0.000E+00       1.491E-03      4.264E-03
1350.00    1370.00    1370.00     1.257E+01     9.892E-04     7.627E-07      0.000E+00      0.000E+00        0.000E+00       1.546E-03      4.264E-03
1400.00    1420.00    1420.00     1.257E+01     1.111E-03     7.092E-07      0.000E+00      0.000E+00        0.000E+00       1.596E-03      4.265E-03
1450.00    1470.00    1470.00     1.257E+01     1.242E-03     6.612E-07      0.000E+00      0.000E+00        0.000E+00       1.642E-03      4.265E-03
1500.00    1520.00    1520.00     1.257E+01     1.380E-03     6.179E-07      0.000E+00      0.000E+00        0.000E+00       1.684E-03      4.265E-03
1550.00    1570.00    1570.00     1.257E+01     1.527E-03     5.787E-07      0.000E+00      0.000E+00        0.000E+00       1.723E-03      4.265E-03
1600.00    1620.00    1620.00     1.257E+01     1.682E-03     5.431E-07      0.000E+00      0.000E+00        0.000E+00       1.758E-03      4.265E-03
1650.00    1670.00    1670.00     1.257E+01     1.846E-03     5.107E-07      0.000E+00      0.000E+00        0.000E+00       1.790E-03      4.265E-03
1700.00    1720.00    1720.00     1.257E+01     2.019E-03     4.811E-07      0.000E+00      0.000E+00        0.000E+00       1.819E-03      4.265E-03
1750.00    1770.00    1770.00     1.257E+01     2.201E-03     4.540E-07      0.000E+00      0.000E+00        0.000E+00       1.847E-03      4.266E-03
1800.00    1820.00    1820.00     1.257E+01     2.391E-03     4.292E-07      0.000E+00      0.000E+00        0.000E+00       1.872E-03      4.266E-03
1850.00    1870.00    1870.00     1.257E+01     2.591E-03     4.063E-07      0.000E+00      0.000E+00        0.000E+00       1.895E-03      4.266E-03
1900.00    1920.00    1920.00     1.257E+01     2.800E-03     3.852E-07      0.000E+00      0.000E+00        0.000E+00       1.917E-03      4.266E-03
1950.00    1970.00    1970.00     1.257E+01     3.018E-03     3.657E-07      0.000E+00      0.000E+00        0.000E+00       1.936E-03      4.266E-03
2000.00    2020.00    2020.00     1.257E+01     3.247E-03     3.477E-07      0.000E+00      0.000E+00        0.000E+00       1.955E-03      4.266E-03
2050.00    2070.00    2070.00     1.257E+01     3.485E-03     3.309E-07      0.000E+00      0.000E+00        0.000E+00       1.972E-03      4.266E-03
2100.00    2120.00    2120.00     1.257E+01     3.732E-03     3.154E-07      0.000E+00      0.000E+00        0.000E+00       1.988E-03      4.266E-03
2150.00    2170.00    2170.00     1.257E+01     3.990E-03     3.009E-07      0.000E+00      0.000E+00        0.000E+00       2.003E-03      4.266E-03
2200.00    2220.00    2220.00     1.257E+01     4.259E-03     2.874E-07      0.000E+00      0.000E+00        0.000E+00       2.017E-03      4.266E-03
2250.00    2270.00    2270.00     1.257E+01     4.537E-03     2.747E-07      0.000E+00      0.000E+00        0.000E+00       2.030E-03      4.266E-03
2300.00    2320.00    2320.00     1.257E+01     4.826E-03     2.629E-07      0.000E+00      0.000E+00        0.000E+00       2.042E-03      4.266E-03
2350.00    2370.00    2370.00     1.257E+01     5.126E-03     2.519E-07      0.000E+00      0.000E+00        0.000E+00       2.054E-03      4.266E-03
2400.00    2420.00    2420.00     1.257E+01     5.436E-03     2.415E-07      0.000E+00      0.000E+00        0.000E+00       2.064E-03      4.267E-03
2450.00    2470.00    2470.00     1.257E+01     5.758E-03     2.317E-07      0.000E+00      0.000E+00        0.000E+00       2.074E-03      4.267E-03
2500.00    2520.00    2520.00     1.257E+01     6.090E-03     2.226E-07      0.000E+00      0.000E+00        0.000E+00       2.084E-03      4.267E-03
2550.00    2570.00    2570.00     1.257E+01     6.434E-03     2.139E-07      0.000E+00      0.000E+00        0.000E+00       2.093E-03      4.267E-03
2600.00    2620.00    2620.00     1.257E+01     6.790E-03     2.058E-07      0.000E+00      0.000E+00        0.000E+00       2.101E-03      4.267E-03
2650.00    2670.00    2670.00     1.257E+01     7.156E-03     1.981E-07      0.000E+00      0.000E+00        0.000E+00       2.109E-03      4.267E-03
2700.00    2720.00    2720.00     1.257E+01     7.535E-03     1.908E-07      0.000E+00      0.000E+00        0.000E+00       2.117E-03      4.267E-03
2750.00    2770.00    2770.00     1.257E+01     7.925E-03     1.839E-07      0.000E+00      0.000E+00        0.000E+00       2.124E-03      4.267E-03
2800.00    2820.00    2820.00     1.257E+01     8.327E-03     1.774E-07      0.000E+00      0.000E+00        0.000E+00       2.130E-03      4.267E-03
2850.00    2870.00    2870.00     1.257E+01     8.741E-03     1.713E-07      0.000E+00      0.000E+00        0.000E+00       2.137E-03      4.267E-03
2900.00    2920.00    2920.00     1.257E+01     9.168E-03     1.654E-07      0.000E+00      0.000E+00        0.000E+00       2.143E-03      4.267E-03
2950.00    2970.00    2970.00     1.257E+01     9.606E-03     1.599E-07      0.000E+00      0.000E+00        0.000E+00       2.148E-03      4.267E-03
3000.00    3020.00    3020.00     1.257E+01     1.006E-02     1.546E-07      0.000E+00      0.000E+00        0.000E+00       2.154E-03      4.267E-03
3050.00    3070.00    3070.00     1.257E+01     1.052E-02     1.495E-07      0.000E+00      0.000E+00        0.000E+00       2.159E-03      4.267E-03
3100.00    3120.00    3120.00     1.257E+01     1.100E-02     1.448E-07      0.000E+00      0.000E+00        0.000E+00       2.164E-03      4.267E-03
3150.00    3170.00    3170.00     1.257E+01     1.149E-02     1.402E-07      0.000E+00      0.000E+00        0.000E+00       2.168E-03      4.267E-03
3200.00    3220.00    3220.00     1.257E+01     1.199E-02     1.359E-07      0.000E+00      0.000E+00        0.000E+00       2.173E-03      4.267E-03
3250.00    3270.00    3270.00     1.257E+01     1.250E-02     1.317E-07      0.000E+00      0.000E+00        0.000E+00       2.177E-03      4.267E-03
3300.00    3320.00    3320.00     1.257E+01     1.303E-02     1.277E-07      0.000E+00      0.000E+00        0.000E+00       2.181E-03      4.267E-03
3350.00    3370.00    3370.00     1.257E+01     1.357E-02     1.240E-07      0.000E+00      0.000E+00        0.000E+00       2.185E-03      4.267E-03
3400.00    3420.00    3420.00     1.257E+01     1.412E-02     1.203E-07      0.000E+00      0.000E+00        0.000E+00       2.188E-03      4.267E-03
3450.00    3470.00    3470.00     1.257E+01     1.469E-02     1.169E-07      0.000E+00      0.000E+00        0.000E+00       2.192E-03      4.267E-03
3500.00    3520.00    3520.00     1.257E+01     1.527E-02     1.136E-07      0.000E+00      0.000E+00        0.000E+00       2.195E-03      4.267E-03
3550.00    3570.00    3570.00     1.257E+01     1.586E-02     1.104E-07      0.000E+00      0.000E+00        0.000E+00       2.198E-03      4.267E-03
3600.00    3620.00    3620.00     1.257E+01     1.647E-02     1.074E-07      0.000E+00      0.000E+00        0.000E+00       2.201E-03      4.267E-03
3650.00    3670.00    3670.00     1.257E+01     1.709E-02     1.044E-07      0.000E+00      0.000E+00        0.000E+00       2.204E-03      4.267E-03
3700.00    3720.00    3720.00     1.257E+01     1.772E-02     1.016E-07      0.000E+00      0.000E+00        0.000E+00       2.207E-03      4.267E-03
3750.00    3770.00    3770.00     1.257E+01     1.837E-02     9.894E-08      0.000E+00      0.000E+00        0.000E+00       2.210E-03      4.267E-03
3800.00    3820.00    3820.00     1.257E+01     1.903E-02     9.635E-08      0.000E+00      0.000E+00        0.000E+00       2.212E-03      4.267E-03
3850.00    3870.00    3870.00     1.257E+01     1.970E-02     9.386E-08      0.000E+00      0.000E+00        0.000E+00       2.215E-03      4.267E-03
3900.00    3920.00    3920.00     1.257E+01     2.039E-02     9.147E-08      0.000E+00      0.000E+00        0.000E+00       2.217E-03      4.267E-03
3950.00    3970.00    3970.00     1.257E+01     2.109E-02     8.917E-08      0.000E+00      0.000E+00        0.000E+00       2.219E-03      4.267E-03
4000.00    4020.00    4020.00     1.257E+01     2.180E-02     8.696E-08      0.000E+00      0.000E+00        0.000E+00       2.222E-03      4.267E-03
4050.00    4070.00    4070.00     1.257E+01     2.252E-02     8.483E-08      0.000E+00      0.000E+00        0.000E+00       2.224E-03      4.267E-03
4100.00    4120.00    4120.00     1.257E+01     2.326E-02     8.277E-08      0.000E+00      0.000E+00        0.000E+00       2.226E-03      4.267E-03
4150.00    4170.00    4170.00     1.257E+01     2.402E-02     8.079E-08      0.000E+00      0.000E+00        0.000E+00       2.227E-03      4.267E-03
4200.00    4220.00    4220.00     1.257E+01     2.478E-02     7.888E-08      0.000E+00      0.000E+00        0.000E+00       2.229E-03      4.267E-03
4250.00    4270.00    4270.00     1.257E+01     2.556E-02     7.703E-08      0.000E+00      0.000E+00        0.000E+00       2.231E-03      4.267E-03
4300.00    4320.00    4320.00     1.257E+01     2.635E-02     7.525E-08      0.000E+00      0.000E+00        0.000E+00       2.233E-03      4.267E-03
4350.00    4370.00    4370.00     1.257E+01     2.716E-02     7.353E-08      0.000E+00      0.000E+00        0.000E+00       2.234E-03      4.267E-03
4400.00    4420.00    4420.00     1.257E+01     2.797E-02     7.187E-08      0.000E+00      0.000E+00        0.000E+00       2.236E-03      4.267E-03
4450.00    4470.00    4470.00     1.257E+01     2.880E-02     7.026E-08      0.000E+00      0.000E+00        0.000E+00       2.238E-03      4.267E-03
4500.00    4520.00    4520.00     1.257E+01     2.965E-02     6.871E-08      0.000E+00      0.000E+00        0.000E+00       2.239E-03      4.267E-03
4550.00    4570.00    4570.00     1.257E+01     3.050E-02     6.721E-08      0.000E+00      0.000E+00        0.000E+00       2.240E-03      4.267E-03
4600.00    4620.00    4620.00     1.257E+01     3.137E-02     6.576E-08      0.000E+00      0.000E+00        0.000E+00       2.242E-03      4.267E-03
4650.00    4670.00    4670.00     1.257E+01     3.225E-02     6.435E-08      0.000E+00      0.000E+00        0.000E+00       2.243E-03      4.267E-03
4700.00    4720.00    4720.00     1.257E+01     3.314E-02     6.299E-08      0.000E+00      0.000E+00        0.000E+00       2.244E-03      4.267E-03
4750.00    4770.00    4770.00     1.257E+01     3.404E-02     6.167E-08      0.000E+00      0.000E+00        0.000E+00       2.246E-03      4.267E-03
4800.00    4820.00    4820.00     1.257E+01     3.495E-02     6.039E-08      0.000E+00      0.000E+00        0.000E+00       2.247E-03      4.267E-03
4850.00    4870.00    4870.00     1.257E+01     3.588E-02     5.915E-08      0.000E+00      0.000E+00        0.000E+00       2.248E-03      4.267E-03
4900.00    4920.00    4920.00     1.257E+01     3.681E-02     5.795E-08      0.000E+00      0.000E+00        0.000E+00       2.249E-03      4.267E-03
4950.00    4970.00    4970.00     1.257E+01     3.776E-02     5.679E-08      0.000E+00      0.000E+00        0.000E+00       2.250E-03      4.267E-03
5000.00    5020.00    5020.00     1.257E+01     3.871E-02     5.566E-08      0.000E+00      0.000E+00        0.000E+00       2.251E-03      4.267E-03
5050.00    5070.00    5070.00     1.257E+01     3.968E-02     5.456E-08      0.000E+00      0.000E+00        0.000E+00       2.252E-03      4.267E-03
5100.00    5120.00    5120.00     1.257E+01     4.066E-02     5.350E-08      0.000E+00      0.000E+00        0.000E+00       2.253E-03      4.267E-03
5150.00    5170.00    5170.00     1.257E+01     4.165E-02     5.246E-08      0.000E+00      0.000E+00        0.000E+00       2.254E-03      4.267E-03
5200.00    5220.00    5220.00     1.257E+01     4.264E-02     5.146E-08      0.000E+00      0.000E+00        0.000E+00       2.255E-03      4.267E-03
5250.00    5270.00    5270.00     1.257E+01     4.365E-02     5.048E-08      0.000E+00      0.000E+00        0.000E+00       2.256E-03      4.267E-03
5300.00    5320.00    5320.00     1.257E+01     4.466E-02     4.954E-08      0.000E+00      0.000E+00        0.000E+00       2.257E-03      4.267E-03
5350.00    5370.00    5370.00     1.257E+01     4.568E-02     4.862E-08      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
5400.00    5420.00    5420.00     1.257E+01     4.671E-02     4.772E-08      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
5450.00    5470.00    5470.00     1.257E+01     4.775E-02     4.685E-08      0.000E+00      0.000E+00        0.000E+00       2.259E-03      4.267E-03
5500.00    5520.00    5520.00     1.257E+01     4.880E-02     4.600E-08      0.000E+00      0.000E+00        0.000E+00       2.260E-03      4.267E-03
5550.00    5570.00    5570.00     1.257E+01     4.985E-02     4.518E-08      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
5600.00    5620.00    5620.00     1.257E+01     5.091E-02     4.437E-08      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
