 Mv1   Mvp      cs_(pb)   
 1.0    45.0    1.1039E+02 
 1.0    50.0    7.3593E+01 
 1.0    55.0    4.9946E+01 
 1.0    60.0    3.4062E+01 
 1.0    65.0    2.3027E+01 
 1.0    70.0    1.5174E+01 
 1.0    75.0    9.5090E+00 
 1.0    80.0    5.4250E+00 
 1.0    85.0    2.5517E+00 
 1.0    90.0    6.9690E-01 
 6.0    45.0    1.1039E+02 
 6.0    50.0    7.3593E+01 
 6.0    55.0    4.9946E+01 
 6.0    60.0    3.4062E+01 
 6.0    65.0    2.3027E+01 
 6.0    70.0    1.5174E+01 
 6.0    75.0    9.5090E+00 
 6.0    80.0    5.4250E+00 
 6.0    85.0    2.5517E+00 
 6.0    90.0    6.9690E-01 
 11.0    45.0    1.1039E+02 
 11.0    50.0    7.3593E+01 
 11.0    55.0    4.9946E+01 
 11.0    60.0    3.4062E+01 
 11.0    65.0    2.3027E+01 
 11.0    70.0    1.5174E+01 
 11.0    75.0    9.5090E+00 
 11.0    80.0    5.4250E+00 
 11.0    85.0    2.5517E+00 
 11.0    90.0    6.9690E-01 
 16.0    45.0    1.1039E+02 
 16.0    50.0    7.3593E+01 
 16.0    55.0    4.9946E+01 
 16.0    60.0    3.4062E+01 
 16.0    65.0    2.3027E+01 
 16.0    70.0    1.5174E+01 
 16.0    75.0    9.5090E+00 
 16.0    80.0    5.4250E+00 
 16.0    85.0    2.5517E+00 
 16.0    90.0    6.9690E-01 
 21.0    45.0    1.1039E+02 
 21.0    50.0    7.3593E+01 
 21.0    55.0    4.9946E+01 
 21.0    60.0    3.4062E+01 
 21.0    65.0    2.3027E+01 
 21.0    70.0    1.5174E+01 
 21.0    75.0    9.5090E+00 
 21.0    80.0    5.4250E+00 
 21.0    85.0    2.5517E+00 
 21.0    90.0    6.9690E-01 
 26.0    45.0    1.1039E+02 
 26.0    50.0    7.3593E+01 
 26.0    55.0    4.9946E+01 
 26.0    60.0    3.4062E+01 
 26.0    65.0    2.3027E+01 
 26.0    70.0    1.5174E+01 
 26.0    75.0    9.5090E+00 
 26.0    80.0    5.4250E+00 
 26.0    85.0    2.5517E+00 
 26.0    90.0    6.9690E-01 
 31.0    45.0    1.1039E+02 
 31.0    50.0    7.3593E+01 
 31.0    55.0    4.9946E+01 
 31.0    60.0    3.4062E+01 
 31.0    65.0    2.3027E+01 
 31.0    70.0    1.5174E+01 
 31.0    75.0    9.5090E+00 
 31.0    80.0    5.4250E+00 
 31.0    85.0    2.5517E+00 
 31.0    90.0    6.9690E-01 
 36.0    45.0    1.1039E+02 
 36.0    50.0    7.3593E+01 
 36.0    55.0    4.9946E+01 
 36.0    60.0    3.4062E+01 
 36.0    65.0    2.3027E+01 
 36.0    70.0    1.5174E+01 
 36.0    75.0    9.5090E+00 
 36.0    80.0    5.4250E+00 
 36.0    85.0    2.5517E+00 
 36.0    90.0    6.9690E-01 
 41.0    45.0    1.1039E+02 
 41.0    50.0    7.3593E+01 
 41.0    55.0    4.9946E+01 
 41.0    60.0    3.4062E+01 
 41.0    65.0    2.3027E+01 
 41.0    70.0    1.5174E+01 
 41.0    75.0    9.5090E+00 
 41.0    80.0    5.4250E+00 
 41.0    85.0    2.5517E+00 
 41.0    90.0    6.9690E-01 
 46.0    45.0    1.1039E+02 
 46.0    50.0    7.3593E+01 
 46.0    55.0    4.9946E+01 
 46.0    60.0    3.4062E+01 
 46.0    65.0    2.3027E+01 
 46.0    70.0    1.5174E+01 
 46.0    75.0    9.5090E+00 
 46.0    80.0    5.4250E+00 
 46.0    85.0    2.5517E+00 
 46.0    90.0    6.9690E-01 
 51.0    45.0    1.1039E+02 
 51.0    50.0    7.3593E+01 
 51.0    55.0    4.9946E+01 
 51.0    60.0    3.4062E+01 
 51.0    65.0    2.3027E+01 
 51.0    70.0    1.5174E+01 
 51.0    75.0    9.5090E+00 
 51.0    80.0    5.4250E+00 
 51.0    85.0    2.5517E+00 
 51.0    90.0    6.9690E-01 
 56.0    45.0    1.1039E+02 
 56.0    50.0    7.3593E+01 
 56.0    55.0    4.9946E+01 
 56.0    60.0    3.4062E+01 
 56.0    65.0    2.3027E+01 
 56.0    70.0    1.5174E+01 
 56.0    75.0    9.5090E+00 
 56.0    80.0    5.4250E+00 
 56.0    85.0    2.5517E+00 
 56.0    90.0    6.9690E-01 
 61.0    45.0    1.1039E+02 
 61.0    50.0    7.3593E+01 
 61.0    55.0    4.9946E+01 
 61.0    60.0    3.4062E+01 
 61.0    65.0    2.3027E+01 
 61.0    70.0    1.5174E+01 
 61.0    75.0    9.5090E+00 
 61.0    80.0    5.4250E+00 
 61.0    85.0    2.5517E+00 
 61.0    90.0    6.9690E-01 
 66.0    45.0    1.1039E+02 
 66.0    50.0    7.3593E+01 
 66.0    55.0    4.9946E+01 
 66.0    60.0    3.4062E+01 
 66.0    65.0    2.3027E+01 
 66.0    70.0    1.5174E+01 
 66.0    75.0    9.5090E+00 
 66.0    80.0    5.4250E+00 
 66.0    85.0    2.5517E+00 
 66.0    90.0    6.9690E-01 
 71.0    45.0    1.1039E+02 
 71.0    50.0    7.3593E+01 
 71.0    55.0    4.9946E+01 
 71.0    60.0    3.4062E+01 
 71.0    65.0    2.3027E+01 
 71.0    70.0    1.5174E+01 
 71.0    75.0    9.5090E+00 
 71.0    80.0    5.4250E+00 
 71.0    85.0    2.5517E+00 
 71.0    90.0    6.9690E-01 
 76.0    45.0    1.1039E+02 
 76.0    50.0    7.3593E+01 
 76.0    55.0    4.9946E+01 
 76.0    60.0    3.4062E+01 
 76.0    65.0    2.3027E+01 
 76.0    70.0    1.5174E+01 
 76.0    75.0    9.5090E+00 
 76.0    80.0    5.4250E+00 
