 Mv1   Mv2      cs_(pb)   
 1.0    1.0    2.1554E+08 
 1.0    6.0    6.0216E+06 
 1.0    11.0    1.8162E+06 
 1.0    16.0    8.7654E+05 
 1.0    21.0    5.2284E+05 
 1.0    26.0    3.5225E+05 
 1.0    31.0    2.5686E+05 
 1.0    36.0    1.9791E+05 
 1.0    41.0    1.5871E+05 
 1.0    46.0    1.3112E+05 
 1.0    51.0    1.1079E+05 
 1.0    56.0    9.5205E+04 
 1.0    61.0    8.2866E+04 
 1.0    66.0    7.2809E+04 
 1.0    71.0    6.4406E+04 
 1.0    76.0    5.7232E+04 
 1.0    81.0    5.0993E+04 
 1.0    86.0    4.5483E+04 
 1.0    91.0    4.0554E+04 
 1.0    96.0    3.6101E+04 
 1.0    101.0    3.2045E+04 
 1.0    106.0    2.8332E+04 
 1.0    111.0    2.4920E+04 
 1.0    116.0    2.1781E+04 
 1.0    121.0    1.8892E+04 
 1.0    126.0    1.6239E+04 
 1.0    131.0    1.3811E+04 
 1.0    136.0    1.1602E+04 
 1.0    141.0    9.6052E+03 
 1.0    146.0    7.8168E+03 
 1.0    151.0    6.2331E+03 
 1.0    156.0    4.8500E+03 
 1.0    161.0    3.6630E+03 
 1.0    166.0    2.6659E+03 
 1.0    171.0    1.8509E+03 
 1.0    176.0    1.2080E+03 
 1.0    181.0    7.2439E+02 
 1.0    186.0    3.8412E+02 
 1.0    191.0    1.6757E+02 
 1.0    196.0    5.1065E+01 
 1.0    201.0    6.3215E+00 
 6.0    1.0    6.0216E+06 
 6.0    6.0    1.6822E+05 
 6.0    11.0    5.0728E+04 
 6.0    16.0    2.4477E+04 
 6.0    21.0    1.4596E+04 
 6.0    26.0    9.8300E+03 
 6.0    31.0    7.1650E+03 
 6.0    36.0    5.5182E+03 
 6.0    41.0    4.4233E+03 
 6.0    46.0    3.6527E+03 
 6.0    51.0    3.0848E+03 
 6.0    56.0    2.6498E+03 
 6.0    61.0    2.3053E+03 
 6.0    66.0    2.0246E+03 
 6.0    71.0    1.7902E+03 
 6.0    76.0    1.5900E+03 
 6.0    81.0    1.4160E+03 
 6.0    86.0    1.2624E+03 
 6.0    91.0    1.1251E+03 
 6.0    96.0    1.0010E+03 
 6.0    101.0    8.8804E+02 
 6.0    106.0    7.8465E+02 
 6.0    111.0    6.8969E+02 
 6.0    116.0    6.0233E+02 
 6.0    121.0    5.2197E+02 
 6.0    126.0    4.4821E+02 
 6.0    131.0    3.8075E+02 
 6.0    136.0    3.1937E+02 
 6.0    141.0    2.6393E+02 
 6.0    146.0    2.1431E+02 
 6.0    151.0    1.7040E+02 
 6.0    156.0    1.3209E+02 
 6.0    161.0    9.9259E+01 
 6.0    166.0    7.1730E+01 
 6.0    171.0    4.9288E+01 
 6.0    176.0    3.1655E+01 
 6.0    181.0    1.8476E+01 
 6.0    186.0    9.3083E+00 
 6.0    191.0    3.6118E+00 
 6.0    196.0    7.3812E-01 
 11.0    1.0    1.8162E+06 
 11.0    6.0    5.0728E+04 
 11.0    11.0    1.5292E+04 
 11.0    16.0    7.3745E+03 
 11.0    21.0    4.3942E+03 
 11.0    26.0    2.9568E+03 
 11.0    31.0    2.1532E+03 
 11.0    36.0    1.6566E+03 
 11.0    41.0    1.3265E+03 
 11.0    46.0    1.0942E+03 
 11.0    51.0    9.2308E+02 
 11.0    56.0    7.9204E+02 
 11.0    61.0    6.8833E+02 
 11.0    66.0    6.0387E+02 
 11.0    71.0    5.3335E+02 
 11.0    76.0    4.7321E+02 
 11.0    81.0    4.2095E+02 
 11.0    86.0    3.7485E+02 
 11.0    91.0    3.3366E+02 
 11.0    96.0    2.9648E+02 
 11.0    101.0    2.6266E+02 
 11.0    106.0    2.3173E+02 
 11.0    111.0    2.0334E+02 
 11.0    116.0    1.7725E+02 
 11.0    121.0    1.5327E+02 
 11.0    126.0    1.3127E+02 
 11.0    131.0    1.1118E+02 
 11.0    136.0    9.2916E+01 
 11.0    141.0    7.6444E+01 
 11.0    146.0    6.1724E+01 
 11.0    151.0    4.8725E+01 
 11.0    156.0    3.7414E+01 
 11.0    161.0    2.7752E+01 
 11.0    166.0    1.9689E+01 
 11.0    171.0    1.3161E+01 
 11.0    176.0    8.0874E+00 
 11.0    181.0    4.3638E+00 
 11.0    186.0    1.8637E+00 
 11.0    191.0    4.3985E-01 
 16.0    1.0    8.7654E+05 
 16.0    6.0    2.4477E+04 
 16.0    11.0    7.3745E+03 
 16.0    16.0    3.5532E+03 
 16.0    21.0    2.1149E+03 
 16.0    26.0    1.4212E+03 
 16.0    31.0    1.0334E+03 
 16.0    36.0    7.9383E+02 
 16.0    41.0    6.3460E+02 
 16.0    46.0    5.2261E+02 
 16.0    51.0    4.4013E+02 
 16.0    56.0    3.7701E+02 
 16.0    61.0    3.2709E+02 
 16.0    66.0    2.8647E+02 
 16.0    71.0    2.5258E+02 
 16.0    76.0    2.2371E+02 
 16.0    81.0    1.9866E+02 
 16.0    86.0    1.7658E+02 
 16.0    91.0    1.5687E+02 
 16.0    96.0    1.3910E+02 
 16.0    101.0    1.2296E+02 
 16.0    106.0    1.0822E+02 
 16.0    111.0    9.4701E+01 
 16.0    116.0    8.2293E+01 
 16.0    121.0    7.0906E+01 
 16.0    126.0    6.0479E+01 
 16.0    131.0    5.0967E+01 
 16.0    136.0    4.2340E+01 
 16.0    141.0    3.4575E+01 
 16.0    146.0    2.7655E+01 
 16.0    151.0    2.1565E+01 
 16.0    156.0    1.6289E+01 
 16.0    161.0    1.1809E+01 
 16.0    166.0    8.1027E+00 
 16.0    171.0    5.1407E+00 
 16.0    176.0    2.8871E+00 
 16.0    181.0    1.2982E+00 
 16.0    186.0    3.2812E-01 
 21.0    1.0    5.2284E+05 
 21.0    6.0    1.4596E+04 
 21.0    11.0    4.3942E+03 
 21.0    16.0    2.1149E+03 
 21.0    21.0    1.2569E+03 
 21.0    26.0    8.4325E+02 
 21.0    31.0    6.1197E+02 
 21.0    36.0    4.6913E+02 
 21.0    41.0    3.7422E+02 
 21.0    46.0    3.0749E+02 
 21.0    51.0    2.5839E+02 
 21.0    56.0    2.2083E+02 
 21.0    61.0    1.9116E+02 
 21.0    66.0    1.6703E+02 
 21.0    71.0    1.4694E+02 
 21.0    76.0    1.2984E+02 
 21.0    81.0    1.1502E+02 
 21.0    86.0    1.0198E+02 
 21.0    91.0    9.0354E+01 
 21.0    96.0    7.9893E+01 
 21.0    101.0    7.0404E+01 
 21.0    106.0    6.1751E+01 
 21.0    111.0    5.3832E+01 
 21.0    116.0    4.6575E+01 
 21.0    121.0    3.9928E+01 
 21.0    126.0    3.3854E+01 
 21.0    131.0    2.8326E+01 
 21.0    136.0    2.3326E+01 
 21.0    141.0    1.8840E+01 
 21.0    146.0    1.4859E+01 
 21.0    151.0    1.1372E+01 
 21.0    156.0    8.3729E+00 
 21.0    161.0    5.8503E+00 
 21.0    166.0    3.7929E+00 
 21.0    171.0    2.1864E+00 
 21.0    176.0    1.0150E+00 
 21.0    181.0    2.6703E-01 
 26.0    1.0    3.5225E+05 
 26.0    6.0    9.8300E+03 
 26.0    11.0    2.9568E+03 
 26.0    16.0    1.4212E+03 
 26.0    21.0    8.4325E+02 
 26.0    26.0    5.6456E+02 
 26.0    31.0    4.0878E+02 
 26.0    36.0    3.1259E+02 
 26.0    41.0    2.4870E+02 
 26.0    46.0    2.0381E+02 
 26.0    51.0    1.7079E+02 
 26.0    56.0    1.4556E+02 
 26.0    61.0    1.2565E+02 
 26.0    66.0    1.0948E+02 
 26.0    71.0    9.6035E+01 
 26.0    76.0    8.4608E+01 
 26.0    81.0    7.4721E+01 
 26.0    86.0    6.6037E+01 
 26.0    91.0    5.8312E+01 
 26.0    96.0    5.1372E+01 
 26.0    101.0    4.5090E+01 
 26.0    106.0    3.9372E+01 
 26.0    111.0    3.4150E+01 
 26.0    116.0    2.9376E+01 
 26.0    121.0    2.5015E+01 
 26.0    126.0    2.1040E+01 
 26.0    131.0    1.7433E+01 
 26.0    136.0    1.4183E+01 
 26.0    141.0    1.1281E+01 
 26.0    146.0    8.7190E+00 
 26.0    151.0    6.4926E+00 
 26.0    156.0    4.5968E+00 
 26.0    161.0    3.0266E+00 
 26.0    166.0    1.7767E+00 
 26.0    171.0    8.4287E-01 
 26.0    176.0    2.2760E-01 
 31.0    1.0    2.5686E+05 
 31.0    6.0    7.1650E+03 
 31.0    11.0    2.1532E+03 
 31.0    16.0    1.0334E+03 
 31.0    21.0    6.1197E+02 
 31.0    26.0    4.0878E+02 
 31.0    31.0    2.9522E+02 
 31.0    36.0    2.2512E+02 
 31.0    41.0    1.7858E+02 
 31.0    46.0    1.4589E+02 
 31.0    51.0    1.2187E+02 
 31.0    56.0    1.0353E+02 
 31.0    61.0    8.9077E+01 
 31.0    66.0    7.7357E+01 
 31.0    71.0    6.7621E+01 
 31.0    76.0    5.9364E+01 
 31.0    81.0    5.2234E+01 
 31.0    86.0    4.5983E+01 
 31.0    91.0    4.0435E+01 
 31.0    96.0    3.5461E+01 
 31.0    101.0    3.0969E+01 
 31.0    106.0    2.6891E+01 
 31.0    111.0    2.3176E+01 
 31.0    116.0    1.9789E+01 
 31.0    121.0    1.6704E+01 
 31.0    126.0    1.3903E+01 
 31.0    131.0    1.1371E+01 
 31.0    136.0    9.1013E+00 
 31.0    141.0    7.0862E+00 
 31.0    146.0    5.3219E+00 
 31.0    151.0    3.8052E+00 
 31.0    156.0    2.5341E+00 
 31.0    161.0    1.5074E+00 
 31.0    166.0    7.2625E-01 
 31.0    171.0    1.9971E-01 
 36.0    1.0    1.9791E+05 
 36.0    6.0    5.5182E+03 
 36.0    11.0    1.6566E+03 
 36.0    16.0    7.9383E+02 
 36.0    21.0    4.6913E+02 
 36.0    26.0    3.1259E+02 
 36.0    31.0    2.2512E+02 
 36.0    36.0    1.7114E+02 
 36.0    41.0    1.3531E+02 
 36.0    46.0    1.1017E+02 
 36.0    51.0    9.1702E+01 
 36.0    56.0    7.7621E+01 
 36.0    61.0    6.6534E+01 
 36.0    66.0    5.7558E+01 
 36.0    71.0    5.0115E+01 
 36.0    76.0    4.3814E+01 
 36.0    81.0    3.8384E+01 
 36.0    86.0    3.3634E+01 
 36.0    91.0    2.9428E+01 
 36.0    96.0    2.5668E+01 
 36.0    101.0    2.2280E+01 
 36.0    106.0    1.9213E+01 
 36.0    111.0    1.6428E+01 
 36.0    116.0    1.3897E+01 
 36.0    121.0    1.1600E+01 
 36.0    126.0    9.5240E+00 
 36.0    131.0    7.6576E+00 
 36.0    136.0    5.9947E+00 
 36.0    141.0    4.5309E+00 
 36.0    146.0    3.2637E+00 
 36.0    151.0    2.1922E+00 
 36.0    156.0    1.3170E+00 
 36.0    161.0    6.4180E-01 
 36.0    166.0    1.7884E-01 
 41.0    1.0    1.5871E+05 
 41.0    6.0    4.4233E+03 
 41.0    11.0    1.3265E+03 
 41.0    16.0    6.3460E+02 
 41.0    21.0    3.7422E+02 
 41.0    26.0    2.4870E+02 
 41.0    31.0    1.7858E+02 
 41.0    36.0    1.3531E+02 
 41.0    41.0    1.0661E+02 
 41.0    46.0    8.6478E+01 
 41.0    51.0    7.1706E+01 
 41.0    56.0    6.0453E+01 
 41.0    61.0    5.1603E+01 
 41.0    66.0    4.4449E+01 
 41.0    71.0    3.8528E+01 
 41.0    76.0    3.3525E+01 
 41.0    81.0    2.9223E+01 
 41.0    86.0    2.5469E+01 
 41.0    91.0    2.2153E+01 
 41.0    96.0    1.9196E+01 
 41.0    101.0    1.6541E+01 
 41.0    106.0    1.4144E+01 
 41.0    111.0    1.1976E+01 
 41.0    116.0    1.0013E+01 
 41.0    121.0    8.2407E+00 
 41.0    126.0    6.6467E+00 
 41.0    131.0    5.2236E+00 
 41.0    136.0    3.9667E+00 
 41.0    141.0    2.8732E+00 
 41.0    146.0    1.9424E+00 
 41.0    151.0    1.1756E+00 
 41.0    156.0    5.7788E-01 
 41.0    161.0    1.6264E-01 
 46.0    1.0    1.3112E+05 
 46.0    6.0    3.6527E+03 
 46.0    11.0    1.0942E+03 
 46.0    16.0    5.2261E+02 
 46.0    21.0    3.0749E+02 
 46.0    26.0    2.0381E+02 
 46.0    31.0    1.4589E+02 
 46.0    36.0    1.1017E+02 
 46.0    41.0    8.6478E+01 
 46.0    46.0    6.9872E+01 
 46.0    51.0    5.7696E+01 
 46.0    56.0    4.8431E+01 
 46.0    61.0    4.1153E+01 
 46.0    66.0    3.5279E+01 
 46.0    71.0    3.0426E+01 
 46.0    76.0    2.6334E+01 
 46.0    81.0    2.2823E+01 
 46.0    86.0    1.9767E+01 
 46.0    91.0    1.7076E+01 
 46.0    96.0    1.4683E+01 
 46.0    101.0    1.2541E+01 
 46.0    106.0    1.0615E+01 
 46.0    111.0    8.8791E+00 
 46.0    116.0    7.3159E+00 
 46.0    121.0    5.9120E+00 
 46.0    126.0    4.6584E+00 
 46.0    131.0    3.5492E+00 
 46.0    136.0    2.5812E+00 
 46.0    141.0    1.7534E+00 
 46.0    146.0    1.0673E+00 
 46.0    151.0    5.2806E-01 
 46.0    156.0    1.4974E-01 
 51.0    1.0    1.1079E+05 
 51.0    6.0    3.0848E+03 
 51.0    11.0    9.2308E+02 
 51.0    16.0    4.4013E+02 
 51.0    21.0    2.5839E+02 
 51.0    26.0    1.7079E+02 
 51.0    31.0    1.2187E+02 
 51.0    36.0    9.1702E+01 
 51.0    41.0    7.1706E+01 
 51.0    46.0    5.7696E+01 
 51.0    51.0    4.7432E+01 
 51.0    56.0    3.9629E+01 
 51.0    61.0    3.3509E+01 
 51.0    66.0    2.8576E+01 
 51.0    71.0    2.4508E+01 
 51.0    76.0    2.1084E+01 
 51.0    81.0    1.8155E+01 
 51.0    86.0    1.5611E+01 
 51.0    91.0    1.3377E+01 
 51.0    96.0    1.1398E+01 
 51.0    101.0    9.6327E+00 
 51.0    106.0    8.0521E+00 
 51.0    111.0    6.6349E+00 
 51.0    116.0    5.3658E+00 
 51.0    121.0    4.2342E+00 
 51.0    126.0    3.2329E+00 
 51.0    131.0    2.3577E+00 
 51.0    136.0    1.6072E+00 
 51.0    141.0    9.8236E-01 
 51.0    146.0    4.8844E-01 
 51.0    151.0    1.3930E-01 
 56.0    1.0    9.5205E+04 
 56.0    6.0    2.6498E+03 
 56.0    11.0    7.9204E+02 
 56.0    16.0    3.7701E+02 
 56.0    21.0    2.2083E+02 
 56.0    26.0    1.4556E+02 
 56.0    31.0    1.0353E+02 
 56.0    36.0    7.7621E+01 
 56.0    41.0    6.0453E+01 
 56.0    46.0    4.8431E+01 
 56.0    51.0    3.9629E+01 
 56.0    56.0    3.2945E+01 
 56.0    61.0    2.7708E+01 
 56.0    66.0    2.3494E+01 
 56.0    71.0    2.0025E+01 
 56.0    76.0    1.7112E+01 
 56.0    81.0    1.4625E+01 
 56.0    86.0    1.2472E+01 
 56.0    91.0    1.0588E+01 
 56.0    96.0    8.9236E+00 
 56.0    101.0    7.4457E+00 
 56.0    106.0    6.1289E+00 
 56.0    111.0    4.9552E+00 
 56.0    116.0    3.9117E+00 
 56.0    121.0    2.9899E+00 
 56.0    126.0    2.1842E+00 
 56.0    131.0    1.4924E+00 
 56.0    136.0    9.1491E-01 
 56.0    141.0    4.5655E-01 
 56.0    146.0    1.3077E-01 
 61.0    1.0    8.2866E+04 
 61.0    6.0    2.3053E+03 
 61.0    11.0    6.8833E+02 
 61.0    16.0    3.2709E+02 
 61.0    21.0    1.9116E+02 
 61.0    26.0    1.2565E+02 
 61.0    31.0    8.9077E+01 
 61.0    36.0    6.6534E+01 
 61.0    41.0    5.1603E+01 
 61.0    46.0    4.1153E+01 
 61.0    51.0    3.3509E+01 
 61.0    56.0    2.7708E+01 
 61.0    61.0    2.3169E+01 
 61.0    66.0    1.9523E+01 
 61.0    71.0    1.6526E+01 
 61.0    76.0    1.4016E+01 
 61.0    81.0    1.1877E+01 
 61.0    86.0    1.0032E+01 
 61.0    91.0    8.4220E+00 
 61.0    96.0    7.0064E+00 
 61.0    101.0    5.7552E+00 
 61.0    106.0    4.6470E+00 
 61.0    111.0    3.6663E+00 
 61.0    116.0    2.8025E+00 
 61.0    121.0    2.0488E+00 
 61.0    126.0    1.4017E+00 
 61.0    131.0    8.6098E-01 
 61.0    136.0    4.3073E-01 
 61.0    141.0    1.2376E-01 
 66.0    1.0    7.2809E+04 
 66.0    6.0    2.0246E+03 
 66.0    11.0    6.0387E+02 
 66.0    16.0    2.8647E+02 
 66.0    21.0    1.6703E+02 
 66.0    26.0    1.0948E+02 
 66.0    31.0    7.7357E+01 
 66.0    36.0    5.7558E+01 
 66.0    41.0    4.4449E+01 
 66.0    46.0    3.5279E+01 
 66.0    51.0    2.8576E+01 
 66.0    56.0    2.3494E+01 
 66.0    61.0    1.9523E+01 
 66.0    66.0    1.6337E+01 
 66.0    71.0    1.3724E+01 
 66.0    76.0    1.1539E+01 
