 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
72.78   367.38    224.00   -4.780E-02   -4.492E-02   4.492E-02     1.178E-01     3.706E-09      0.000E+00       0.000E+00       0.000E+00      9.020E-03      4.296E-03 
69.90   446.04    89.82   3.969E-02   7.078E-01   -7.078E-01     1.195E-01     2.767E-09      0.000E+00       0.000E+00       0.000E+00      3.860E-03      4.274E-03 
73.91   931.60    846.96   -3.118E-02   -8.132E-01   8.132E-01     1.176E-01     1.529E-09      0.000E+00       0.000E+00       0.000E+00      9.567E-03      4.299E-03 
74.94   643.59    676.81   -7.230E-03   1.415E-01   -1.415E-01     1.194E-01     8.003E-11      0.000E+00       0.000E+00       0.000E+00      9.520E-03      4.299E-03 
64.02   646.74    172.00   -3.330E-02   8.742E-01   -8.742E-01     1.179E-01     2.317E-09      0.000E+00       0.000E+00       0.000E+00      8.858E-03      4.296E-03 
73.76   383.08    478.28   -3.258E-02   -7.778E-01   7.778E-01     1.192E-01     1.676E-09      0.000E+00       0.000E+00       0.000E+00      9.461E-03      4.298E-03 
75.20   818.67    455.63   8.853E-04   -8.013E-01   8.013E-01     1.189E-01     1.192E-12      0.000E+00       0.000E+00       0.000E+00      9.389E-03      4.298E-03 
64.28   209.21    113.91   -3.760E-02   -4.707E-01   4.707E-01     1.181E-01     2.929E-09      0.000E+00       0.000E+00       0.000E+00      7.966E-03      4.292E-03 
74.74   653.53    343.00   -1.167E-02   -2.565E-02   2.565E-02     1.177E-01     2.097E-10      0.000E+00       0.000E+00       0.000E+00      9.251E-03      4.297E-03 
64.24   661.78    807.92   -3.572E-02   1.697E-01   -1.697E-01     1.186E-01     2.648E-09      0.000E+00       0.000E+00       0.000E+00      9.584E-03      4.299E-03 
64.68   795.50    365.03   -4.200E-02   3.928E-01   -3.928E-01     1.177E-01     3.611E-09      0.000E+00       0.000E+00       0.000E+00      9.461E-03      4.298E-03 
75.63   874.10    981.46   1.322E-02   3.183E-01   -3.183E-01     1.188E-01     2.627E-10      0.000E+00       0.000E+00       0.000E+00      9.564E-03      4.299E-03 
64.31   138.33    141.45   -3.809E-02   -8.946E-01   8.946E-01     1.176E-01     3.003E-09      0.000E+00       0.000E+00       0.000E+00      8.547E-03      4.294E-03 
