 Mh1   Mh2      cs_(fb)   
 65.0    66.0    7.0102E+01 
 70.0    71.0    5.5767E+01 
 75.0    76.0    4.5361E+01 
 80.0    81.0    3.7450E+01 
 85.0    86.0    3.1311E+01 
 90.0    91.0    2.6475E+01 
 95.0    96.0    2.2596E+01 
 100.0    101.0    1.9393E+01 
 105.0    106.0    1.6820E+01 
 110.0    111.0    1.4652E+01 
 115.0    116.0    1.2824E+01 
 120.0    121.0    1.1279E+01 
 125.0    126.0    9.9698E+00 
 130.0    131.0    8.8543E+00 
 135.0    136.0    7.8897E+00 
 140.0    141.0    7.0473E+00 
 145.0    146.0    6.3216E+00 
 150.0    151.0    5.6866E+00 
 155.0    156.0    5.1336E+00 
 160.0    161.0    4.6385E+00 
 165.0    166.0    4.2048E+00 
 170.0    171.0    3.8197E+00 
 175.0    176.0    3.4798E+00 
 180.0    181.0    3.1743E+00 
 185.0    186.0    2.9042E+00 
 190.0    191.0    2.6585E+00 
 195.0    196.0    2.4407E+00 
 200.0    201.0    2.2422E+00 
 205.0    206.0    2.0628E+00 
 210.0    211.0    1.9038E+00 
 215.0    216.0    1.7566E+00 
 220.0    221.0    1.6241E+00 
 225.0    226.0    1.5035E+00 
 230.0    231.0    1.3921E+00 
 235.0    236.0    1.2931E+00 
 240.0    241.0    1.2014E+00 
 245.0    246.0    1.1179E+00 
 250.0    251.0    1.0399E+00 
 255.0    256.0    9.6935E-01 
 260.0    261.0    9.0426E-01 
 265.0    266.0    8.4477E-01 
 270.0    271.0    7.8893E-01 
 275.0    276.0    7.3839E-01 
 280.0    281.0    6.9220E-01 
 285.0    286.0    6.4802E-01 
 290.0    291.0    6.0758E-01 
 295.0    296.0    5.7050E-01 
 300.0    301.0    5.3601E-01 
 305.0    306.0    5.0309E-01 
 310.0    311.0    4.7355E-01 
 315.0    316.0    4.4620E-01 
 320.0    321.0    4.1972E-01 
 325.0    326.0    3.9557E-01 
 330.0    331.0    3.7266E-01 
 335.0    336.0    3.5172E-01 
 340.0    341.0    3.3237E-01 
 345.0    346.0    3.1375E-01 
 350.0    351.0    2.9651E-01 
 355.0    356.0    2.8071E-01 
 360.0    361.0    2.6560E-01 
 365.0    366.0    2.5128E-01 
 370.0    371.0    2.3784E-01 
 375.0    376.0    2.2539E-01 
 380.0    381.0    2.1374E-01 
 385.0    386.0    2.0259E-01 
 390.0    391.0    1.9226E-01 
 395.0    396.0    1.8262E-01 
 400.0    401.0    1.7339E-01 
 405.0    406.0    1.6471E-01 
 410.0    411.0    1.5647E-01 
 415.0    416.0    1.4906E-01 
 420.0    421.0    1.4158E-01 
 425.0    426.0    1.3452E-01 
 430.0    431.0    1.2830E-01 
 435.0    436.0    1.2207E-01 
 440.0    441.0    1.1630E-01 
 445.0    446.0    1.1086E-01 
 450.0    451.0    1.0569E-01 
 455.0    456.0    1.0073E-01 
 460.0    461.0    9.6080E-02 
 465.0    466.0    9.1729E-02 
 470.0    471.0    8.7586E-02 
 475.0    476.0    8.3529E-02 
 480.0    481.0    7.9806E-02 
 485.0    486.0    7.6272E-02 
 490.0    491.0    7.2817E-02 
 495.0    496.0    6.9638E-02 
 500.0    501.0    6.6627E-02 
 505.0    506.0    6.3694E-02 
 510.0    511.0    6.0943E-02 
 515.0    516.0    5.8272E-02 
 520.0    521.0    5.5803E-02 
 525.0    526.0    5.3445E-02 
 530.0    531.0    5.1105E-02 
 535.0    536.0    4.9014E-02 
 540.0    541.0    4.6936E-02 
 545.0    546.0    4.4986E-02 
 550.0    551.0    4.3107E-02 
 555.0    556.0    4.1345E-02 
 560.0    561.0    3.9601E-02 
 565.0    566.0    3.7996E-02 
 570.0    571.0    3.6450E-02 
 575.0    576.0    3.5010E-02 
 580.0    581.0    3.3554E-02 
 585.0    586.0    3.2233E-02 
 590.0    591.0    3.0939E-02 
 595.0    596.0    2.9704E-02 
 600.0    601.0    2.8555E-02 
 605.0    606.0    2.7404E-02 
 610.0    611.0    2.6318E-02 
 615.0    616.0    2.5318E-02 
 620.0    621.0    2.4339E-02 
 625.0    626.0    2.3349E-02 
 630.0    631.0    2.2492E-02 
 635.0    636.0    2.1633E-02 
 640.0    641.0    2.0818E-02 
 645.0    646.0    1.9993E-02 
 650.0    651.0    1.9257E-02 
 655.0    656.0    1.8516E-02 
 660.0    661.0    1.7815E-02 
 665.0    666.0    1.7185E-02 
 670.0    671.0    1.6535E-02 
 675.0    676.0    1.5896E-02 
 680.0    681.0    1.5328E-02 
 685.0    686.0    1.4747E-02 
 690.0    691.0    1.4233E-02 
 695.0    696.0    1.3699E-02 
 700.0    701.0    1.3203E-02 
 705.0    706.0    1.2718E-02 
 710.0    711.0    1.2246E-02 
 715.0    716.0    1.1810E-02 
 720.0    721.0    1.1389E-02 
 725.0    726.0    1.0984E-02 
 730.0    731.0    1.0593E-02 
 735.0    736.0    1.0222E-02 
 740.0    741.0    9.8588E-03 
 745.0    746.0    9.5115E-03 
 750.0    751.0    9.1806E-03 
 755.0    756.0    8.8445E-03 
 760.0    761.0    8.5337E-03 
 765.0    766.0    8.2388E-03 
 770.0    771.0    7.9570E-03 
 775.0    776.0    7.6720E-03 
 780.0    781.0    7.4171E-03 
 785.0    786.0    7.1653E-03 
 790.0    791.0    6.9223E-03 
 795.0    796.0    6.6857E-03 
 800.0    801.0    6.4436E-03 
 805.0    806.0    6.2330E-03 
 810.0    811.0    6.0174E-03 
 815.0    816.0    5.8098E-03 
 820.0    821.0    5.6238E-03 
 825.0    826.0    5.4323E-03 
 830.0    831.0    5.2509E-03 
 835.0    836.0    5.0752E-03 
 840.0    841.0    4.9132E-03 
 845.0    846.0    4.7450E-03 
 850.0    851.0    4.5892E-03 
 855.0    856.0    4.4350E-03 
 860.0    861.0    4.2908E-03 
 865.0    866.0    4.1461E-03 
 870.0    871.0    4.0104E-03 
 875.0    876.0    3.8821E-03 
 880.0    881.0    3.7552E-03 
 885.0    886.0    3.6338E-03 
 890.0    891.0    3.5122E-03 
 895.0    896.0    3.4018E-03 
 900.0    901.0    3.2915E-03 
 905.0    906.0    3.1879E-03 
 910.0    911.0    3.0829E-03 
 915.0    916.0    2.9803E-03 
 920.0    921.0    2.8878E-03 
 925.0    926.0    2.7986E-03 
 930.0    931.0    2.7061E-03 
 935.0    936.0    2.6229E-03 
 940.0    941.0    2.5365E-03 
 945.0    946.0    2.4603E-03 
 950.0    951.0    2.3804E-03 
 955.0    956.0    2.3048E-03 
 960.0    961.0    2.2356E-03 
 965.0    966.0    2.1623E-03 
 970.0    971.0    2.0976E-03 
 975.0    976.0    2.0283E-03 
 980.0    981.0    1.9656E-03 
 985.0    986.0    1.9063E-03 
 990.0    991.0    1.8468E-03 
 995.0    996.0    1.7883E-03 
 1000.0    1001.0    1.7352E-03 
