 Mv1   lamL      cs_(fb)   
 65.0    1.0    7.3972E+03 
 70.0    1.0    4.1746E+03 
 75.0    1.0    2.4553E+03 
 80.0    1.0    1.4999E+03 
 85.0    1.0    9.4554E+02 
 90.0    1.0    6.1453E+02 
 95.0    1.0    4.0893E+02 
 100.0    1.0    2.7926E+02 
 105.0    1.0    1.9437E+02 
 110.0    1.0    1.3803E+02 
 115.0    1.0    9.9615E+01 
 120.0    1.0    7.3114E+01 
 125.0    1.0    5.4457E+01 
 130.0    1.0    4.1107E+01 
 135.0    1.0    3.1479E+01 
 140.0    1.0    2.4349E+01 
 145.0    1.0    1.9058E+01 
 150.0    1.0    1.5063E+01 
 155.0    1.0    1.2000E+01 
 160.0    1.0    9.6586E+00 
 165.0    1.0    7.8290E+00 
 170.0    1.0    6.4049E+00 
 175.0    1.0    5.2771E+00 
 180.0    1.0    4.3698E+00 
 185.0    1.0    3.6428E+00 
 190.0    1.0    3.0627E+00 
 195.0    1.0    2.5856E+00 
 200.0    1.0    2.1943E+00 
 205.0    1.0    1.8703E+00 
 210.0    1.0    1.6044E+00 
 215.0    1.0    1.3784E+00 
 220.0    1.0    1.1930E+00 
 225.0    1.0    1.0366E+00 
 230.0    1.0    9.0271E-01 
 235.0    1.0    7.8872E-01 
 240.0    1.0    6.9268E-01 
 245.0    1.0    6.0969E-01 
 250.0    1.0    5.3861E-01 
 255.0    1.0    4.7703E-01 
 260.0    1.0    4.2380E-01 
 265.0    1.0    3.7761E-01 
 270.0    1.0    3.3746E-01 
 275.0    1.0    3.0168E-01 
 280.0    1.0    2.7106E-01 
 285.0    1.0    2.4379E-01 
 290.0    1.0    2.1956E-01 
 295.0    1.0    1.9804E-01 
 300.0    1.0    1.7932E-01 
 305.0    1.0    1.6245E-01 
 310.0    1.0    1.4776E-01 
 315.0    1.0    1.3415E-01 
 320.0    1.0    1.2232E-01 
 325.0    1.0    1.1143E-01 
 330.0    1.0    1.0206E-01 
 335.0    1.0    9.3289E-02 
 340.0    1.0    8.5483E-02 
 345.0    1.0    7.8564E-02 
 350.0    1.0    7.2132E-02 
 355.0    1.0    6.6357E-02 
 360.0    1.0    6.1161E-02 
 365.0    1.0    5.6278E-02 
 370.0    1.0    5.2021E-02 
 375.0    1.0    4.8143E-02 
 380.0    1.0    4.4431E-02 
 385.0    1.0    4.1171E-02 
 390.0    1.0    3.8151E-02 
 395.0    1.0    3.5435E-02 
 400.0    1.0    3.2824E-02 
 405.0    1.0    3.0563E-02 
 410.0    1.0    2.8475E-02 
 415.0    1.0    2.6480E-02 
 420.0    1.0    2.4677E-02 
 425.0    1.0    2.3027E-02 
 430.0    1.0    2.1454E-02 
 435.0    1.0    2.0083E-02 
 440.0    1.0    1.8740E-02 
 445.0    1.0    1.7522E-02 
 450.0    1.0    1.6414E-02 
 455.0    1.0    1.5357E-02 
 460.0    1.0    1.4389E-02 
 465.0    1.0    1.3490E-02 
 470.0    1.0    1.2650E-02 
 475.0    1.0    1.1883E-02 
 480.0    1.0    1.1166E-02 
 485.0    1.0    1.0509E-02 
 490.0    1.0    9.8707E-03 
 495.0    1.0    9.2768E-03 
 500.0    1.0    8.7351E-03 
 505.0    1.0    8.2205E-03 
 510.0    1.0    7.7378E-03 
 515.0    1.0    7.2971E-03 
 520.0    1.0    6.8845E-03 
 525.0    1.0    6.4959E-03 
 530.0    1.0    6.1371E-03 
 535.0    1.0    5.7900E-03 
 540.0    1.0    5.4688E-03 
 545.0    1.0    5.1679E-03 
 550.0    1.0    4.8811E-03 
 555.0    1.0    4.6241E-03 
 560.0    1.0    4.3744E-03 
 565.0    1.0    4.1347E-03 
 570.0    1.0    3.9162E-03 
 575.0    1.0    3.7114E-03 
 580.0    1.0    3.5161E-03 
 585.0    1.0    3.3338E-03 
 590.0    1.0    3.1618E-03 
 595.0    1.0    3.0014E-03 
 600.0    1.0    2.8484E-03 
 605.0    1.0    2.6986E-03 
