 Mv1   Mv2      cs_(fb)   
 65.0    66.0    4.0674E+04 
 70.0    71.0    3.0327E+04 
 75.0    76.0    2.3082E+04 
 80.0    81.0    1.7844E+04 
 85.0    86.0    1.4003E+04 
 90.0    91.0    1.1155E+04 
 95.0    96.0    8.9874E+03 
 100.0    101.0    7.3249E+03 
 105.0    106.0    6.0250E+03 
 110.0    111.0    4.9962E+03 
 115.0    116.0    4.1798E+03 
 120.0    121.0    3.5190E+03 
 125.0    126.0    2.9842E+03 
 130.0    131.0    2.5444E+03 
 135.0    136.0    2.1822E+03 
 140.0    141.0    1.8804E+03 
 145.0    146.0    1.6303E+03 
 150.0    151.0    1.4185E+03 
 155.0    156.0    1.2407E+03 
 160.0    161.0    1.0867E+03 
 165.0    166.0    9.5722E+02 
 170.0    171.0    8.4473E+02 
 175.0    176.0    7.5019E+02 
 180.0    181.0    6.6766E+02 
 185.0    186.0    5.9407E+02 
 190.0    191.0    5.3151E+02 
 195.0    196.0    4.7591E+02 
 200.0    201.0    4.2732E+02 
 205.0    206.0    3.8455E+02 
 210.0    211.0    3.4763E+02 
 215.0    216.0    3.1448E+02 
 220.0    221.0    2.8455E+02 
 225.0    226.0    2.5861E+02 
 230.0    231.0    2.3534E+02 
 235.0    236.0    2.1430E+02 
 240.0    241.0    1.9546E+02 
 245.0    246.0    1.7912E+02 
 250.0    251.0    1.6365E+02 
 255.0    256.0    1.5009E+02 
 260.0    261.0    1.3781E+02 
 265.0    266.0    1.2672E+02 
 270.0    271.0    1.1662E+02 
 275.0    276.0    1.0746E+02 
 280.0    281.0    9.9219E+01 
 285.0    286.0    9.1618E+01 
 290.0    291.0    8.4787E+01 
 295.0    296.0    7.8434E+01 
 300.0    301.0    7.2732E+01 
 305.0    306.0    6.7489E+01 
 310.0    311.0    6.2669E+01 
 315.0    316.0    5.8303E+01 
 320.0    321.0    5.4249E+01 
 325.0    326.0    5.0522E+01 
 330.0    331.0    4.7020E+01 
 335.0    336.0    4.3901E+01 
 340.0    341.0    4.0947E+01 
 345.0    346.0    3.8296E+01 
 350.0    351.0    3.5800E+01 
 355.0    356.0    3.3515E+01 
 360.0    361.0    3.1343E+01 
 365.0    366.0    2.9386E+01 
 370.0    371.0    2.7562E+01 
 375.0    376.0    2.5871E+01 
 380.0    381.0    2.4273E+01 
 385.0    386.0    2.2817E+01 
 390.0    391.0    2.1457E+01 
 395.0    396.0    2.0184E+01 
 400.0    401.0    1.8971E+01 
 405.0    406.0    1.7877E+01 
 410.0    411.0    1.6842E+01 
 415.0    416.0    1.5867E+01 
 420.0    421.0    1.4973E+01 
 425.0    426.0    1.4134E+01 
 430.0    431.0    1.3331E+01 
 435.0    436.0    1.2597E+01 
 440.0    441.0    1.1913E+01 
 445.0    446.0    1.1272E+01 
 450.0    451.0    1.0644E+01 
 455.0    456.0    1.0088E+01 
 460.0    461.0    9.5392E+00 
 465.0    466.0    9.0295E+00 
 470.0    471.0    8.5611E+00 
 475.0    476.0    8.1139E+00 
 480.0    481.0    7.6962E+00 
 485.0    486.0    7.3075E+00 
 490.0    491.0    6.9257E+00 
 495.0    496.0    6.5799E+00 
 500.0    501.0    6.2459E+00 
 505.0    506.0    5.9294E+00 
 510.0    511.0    5.6384E+00 
 515.0    516.0    5.3604E+00 
 520.0    521.0    5.0984E+00 
 525.0    526.0    4.8501E+00 
 530.0    531.0    4.6198E+00 
 535.0    536.0    4.3924E+00 
 540.0    541.0    4.1786E+00 
 545.0    546.0    3.9878E+00 
 550.0    551.0    3.7949E+00 
 555.0    556.0    3.6218E+00 
 560.0    561.0    3.4489E+00 
 565.0    566.0    3.2910E+00 
 570.0    571.0    3.1348E+00 
 575.0    576.0    2.9942E+00 
 580.0    581.0    2.8559E+00 
 585.0    586.0    2.7265E+00 
 590.0    591.0    2.6049E+00 
 595.0    596.0    2.4865E+00 
 600.0    601.0    2.3755E+00 
 605.0    606.0    2.2714E+00 
 610.0    611.0    2.1702E+00 
 615.0    616.0    2.0760E+00 
 620.0    621.0    1.9857E+00 
 625.0    626.0    1.8981E+00 
 630.0    631.0    1.8142E+00 
 635.0    636.0    1.7372E+00 
 640.0    641.0    1.6627E+00 
 645.0    646.0    1.5925E+00 
 650.0    651.0    1.5240E+00 
 655.0    656.0    1.4592E+00 
 660.0    661.0    1.3973E+00 
 665.0    666.0    1.3393E+00 
 670.0    671.0    1.2825E+00 
 675.0    676.0    1.2301E+00 
 680.0    681.0    1.1789E+00 
 685.0    686.0    1.1311E+00 
 690.0    691.0    1.0853E+00 
 695.0    696.0    1.0400E+00 
 700.0    701.0    1.0003E+00 
 705.0    706.0    9.5660E-01 
 710.0    711.0    9.2039E-01 
 715.0    716.0    8.8324E-01 
 720.0    721.0    8.4691E-01 
 725.0    726.0    8.1304E-01 
 730.0    731.0    7.8174E-01 
 735.0    736.0    7.5021E-01 
 740.0    741.0    7.2060E-01 
 745.0    746.0    6.9243E-01 
