 Mh1   ld345      cs_(fb)   
 65.0    1.0    5.4352E+00 
 70.0    1.0    2.2782E+00 
 75.0    1.0    1.4064E+00 
 80.0    1.0    9.8390E-01 
 85.0    1.0    7.3490E-01 
 90.0    1.0    5.7031E-01 
 95.0    1.0    4.5690E-01 
 100.0    1.0    3.7350E-01 
 105.0    1.0    3.0998E-01 
 110.0    1.0    2.6045E-01 
 115.0    1.0    2.2111E-01 
 120.0    1.0    1.8998E-01 
 125.0    1.0    1.6411E-01 
 130.0    1.0    1.4271E-01 
 135.0    1.0    1.2476E-01 
 140.0    1.0    1.0991E-01 
 145.0    1.0    9.7055E-02 
 150.0    1.0    8.6084E-02 
 155.0    1.0    7.6748E-02 
 160.0    1.0    6.8513E-02 
 165.0    1.0    6.1474E-02 
 170.0    1.0    5.5300E-02 
 175.0    1.0    4.9881E-02 
 180.0    1.0    4.5086E-02 
 185.0    1.0    4.0888E-02 
 190.0    1.0    3.7117E-02 
 195.0    1.0    3.3759E-02 
 200.0    1.0    3.0833E-02 
 205.0    1.0    2.8159E-02 
 210.0    1.0    2.5760E-02 
 215.0    1.0    2.3618E-02 
 220.0    1.0    2.1701E-02 
 225.0    1.0    1.9964E-02 
 230.0    1.0    1.8376E-02 
 235.0    1.0    1.6954E-02 
 240.0    1.0    1.5647E-02 
 245.0    1.0    1.4496E-02 
 250.0    1.0    1.3389E-02 
 255.0    1.0    1.2423E-02 
 260.0    1.0    1.1502E-02 
 265.0    1.0    1.0696E-02 
 270.0    1.0    9.9445E-03 
 275.0    1.0    9.2543E-03 
 280.0    1.0    8.6143E-03 
 285.0    1.0    8.0249E-03 
 290.0    1.0    7.5022E-03 
 295.0    1.0    7.0059E-03 
 300.0    1.0    6.5412E-03 
 305.0    1.0    6.1267E-03 
 310.0    1.0    5.7301E-03 
 315.0    1.0    5.3695E-03 
 320.0    1.0    5.0369E-03 
 325.0    1.0    4.7146E-03 
 330.0    1.0    4.4355E-03 
 335.0    1.0    4.1558E-03 
 340.0    1.0    3.9152E-03 
 345.0    1.0    3.6804E-03 
 350.0    1.0    3.4650E-03 
 355.0    1.0    3.2576E-03 
 360.0    1.0    3.0698E-03 
 365.0    1.0    2.8964E-03 
 370.0    1.0    2.7271E-03 
 375.0    1.0    2.5795E-03 
 380.0    1.0    2.4323E-03 
 385.0    1.0    2.2986E-03 
 390.0    1.0    2.1732E-03 
 395.0    1.0    2.0550E-03 
 400.0    1.0    1.9415E-03 
 405.0    1.0    1.8370E-03 
 410.0    1.0    1.7403E-03 
 415.0    1.0    1.6454E-03 
 420.0    1.0    1.5615E-03 
 425.0    1.0    1.4785E-03 
 430.0    1.0    1.4017E-03 
 435.0    1.0    1.3318E-03 
