 Mh1   Mh2    ld345      cs_(fb)   
 65.0    66.0    1.0     6.1178E+00 
 70.0    71.0    1.0     2.2082E+00 
 75.0    76.0    1.0     1.2342E+00 
 80.0    81.0    1.0     8.0022E-01 
 85.0    86.0    1.0     5.6192E-01 
 90.0    91.0    1.0     4.1576E-01 
 95.0    96.0    1.0     3.1953E-01 
 100.0    101.0    1.0     2.5212E-01 
 105.0    106.0    1.0     2.0332E-01 
 110.0    111.0    1.0     1.6727E-01 
 115.0    116.0    1.0     1.3943E-01 
 120.0    121.0    1.0     1.1783E-01 
 125.0    126.0    1.0     1.0057E-01 
 130.0    131.0    1.0     8.6695E-02 
 135.0    136.0    1.0     7.5361E-02 
 140.0    141.0    1.0     6.6079E-02 
 145.0    146.0    1.0     5.8180E-02 
 150.0    151.0    1.0     5.1518E-02 
 155.0    156.0    1.0     4.5920E-02 
 160.0    161.0    1.0     4.1044E-02 
 165.0    166.0    1.0     3.6920E-02 
 170.0    171.0    1.0     3.3271E-02 
 175.0    176.0    1.0     3.0146E-02 
 180.0    181.0    1.0     2.7347E-02 
 185.0    186.0    1.0     2.4904E-02 
 190.0    191.0    1.0     2.2714E-02 
 195.0    196.0    1.0     2.0796E-02 
 200.0    201.0    1.0     1.9068E-02 
 205.0    206.0    1.0     1.7528E-02 
 210.0    211.0    1.0     1.6149E-02 
 215.0    216.0    1.0     1.4892E-02 
 220.0    221.0    1.0     1.3775E-02 
 225.0    226.0    1.0     1.2740E-02 
 230.0    231.0    1.0     1.1810E-02 
 235.0    236.0    1.0     1.0970E-02 
 240.0    241.0    1.0     1.0195E-02 
 245.0    246.0    1.0     9.4944E-03 
 250.0    251.0    1.0     8.8463E-03 
 255.0    256.0    1.0     8.2530E-03 
 260.0    261.0    1.0     7.7097E-03 
 265.0    266.0    1.0     7.2139E-03 
 270.0    271.0    1.0     6.7442E-03 
 275.0    276.0    1.0     6.3183E-03 
 280.0    281.0    1.0     5.9209E-03 
 285.0    286.0    1.0     5.5607E-03 
 290.0    291.0    1.0     5.2214E-03 
 295.0    296.0    1.0     4.9055E-03 
 300.0    301.0    1.0     4.6164E-03 
 305.0    306.0    1.0     4.3470E-03 
 310.0    311.0    1.0     4.0952E-03 
 315.0    316.0    1.0     3.8542E-03 
