 Mh1   ld345      cs_(fb)   
 65.0    1.0    1.2627E+02 
 70.0    1.0    4.7349E+01 
 75.0    1.0    2.6958E+01 
 80.0    1.0    1.7602E+01 
 85.0    1.0    1.2381E+01 
 90.0    1.0    9.1302E+00 
 95.0    1.0    6.9697E+00 
 100.0    1.0    5.4327E+00 
 105.0    1.0    4.3326E+00 
 110.0    1.0    3.4947E+00 
 115.0    1.0    2.8714E+00 
 120.0    1.0    2.3766E+00 
 125.0    1.0    1.9844E+00 
 130.0    1.0    1.6741E+00 
 135.0    1.0    1.4244E+00 
 140.0    1.0    1.2165E+00 
 145.0    1.0    1.0492E+00 
 150.0    1.0    9.0340E-01 
 155.0    1.0    7.8500E-01 
 160.0    1.0    6.8584E-01 
 165.0    1.0    5.9964E-01 
 170.0    1.0    5.2822E-01 
 175.0    1.0    4.6726E-01 
 180.0    1.0    4.1295E-01 
 185.0    1.0    3.6592E-01 
 190.0    1.0    3.2621E-01 
 195.0    1.0    2.9185E-01 
 200.0    1.0    2.6106E-01 
 205.0    1.0    2.3498E-01 
 210.0    1.0    2.1127E-01 
 215.0    1.0    1.9053E-01 
 220.0    1.0    1.7184E-01 
 225.0    1.0    1.5567E-01 
 230.0    1.0    1.4130E-01 
 235.0    1.0    1.2835E-01 
 240.0    1.0    1.1690E-01 
 245.0    1.0    1.0665E-01 
 250.0    1.0    9.7248E-02 
 255.0    1.0    8.9048E-02 
 260.0    1.0    8.1485E-02 
 265.0    1.0    7.4718E-02 
 270.0    1.0    6.8555E-02 
 275.0    1.0    6.2917E-02 
 280.0    1.0    5.8016E-02 
 285.0    1.0    5.3437E-02 
 290.0    1.0    4.9261E-02 
 295.0    1.0    4.5554E-02 
 300.0    1.0    4.2098E-02 
 305.0    1.0    3.8980E-02 
 310.0    1.0    3.6090E-02 
 315.0    1.0    3.3480E-02 
 320.0    1.0    3.1099E-02 
 325.0    1.0    2.8835E-02 
 330.0    1.0    2.6836E-02 
 335.0    1.0    2.4964E-02 
 340.0    1.0    2.3246E-02 
 345.0    1.0    2.1648E-02 
 350.0    1.0    2.0217E-02 
 355.0    1.0    1.8861E-02 
 360.0    1.0    1.7601E-02 
 365.0    1.0    1.6463E-02 
 370.0    1.0    1.5404E-02 
 375.0    1.0    1.4406E-02 
 380.0    1.0    1.3487E-02 
 385.0    1.0    1.2656E-02 
 390.0    1.0    1.1853E-02 
 395.0    1.0    1.1123E-02 
 400.0    1.0    1.0451E-02 
 405.0    1.0    9.8076E-03 
 410.0    1.0    9.2428E-03 
 415.0    1.0    8.6863E-03 
 420.0    1.0    8.1572E-03 
 425.0    1.0    7.6926E-03 
 430.0    1.0    7.2330E-03 
 435.0    1.0    6.8139E-03 
 440.0    1.0    6.4255E-03 
 445.0    1.0    6.0543E-03 
 450.0    1.0    5.7179E-03 
 455.0    1.0    5.4060E-03 
 460.0    1.0    5.1003E-03 
 465.0    1.0    4.8226E-03 
 470.0    1.0    4.5554E-03 
 475.0    1.0    4.3052E-03 
 480.0    1.0    4.0725E-03 
 485.0    1.0    3.8536E-03 
 490.0    1.0    3.6503E-03 
 495.0    1.0    3.4561E-03 
 500.0    1.0    3.2755E-03 
 505.0    1.0    3.1049E-03 
 510.0    1.0    2.9434E-03 
 515.0    1.0    2.7889E-03 
 520.0    1.0    2.6458E-03 
 525.0    1.0    2.5166E-03 
 530.0    1.0    2.3884E-03 
 535.0    1.0    2.2668E-03 
 540.0    1.0    2.1555E-03 
 545.0    1.0    2.0440E-03 
 550.0    1.0    1.9483E-03 
 555.0    1.0    1.8512E-03 
 560.0    1.0    1.7586E-03 
 565.0    1.0    1.6742E-03 
 570.0    1.0    1.5946E-03 
 575.0    1.0    1.5154E-03 
 580.0    1.0    1.4436E-03 
 585.0    1.0    1.3746E-03 
 590.0    1.0    1.3098E-03 
 595.0    1.0    1.2476E-03 
 600.0    1.0    1.1919E-03 
 605.0    1.0    1.1359E-03 
 610.0    1.0    1.0828E-03 
 615.0    1.0    1.0335E-03 
 620.0    1.0    9.8805E-04 
