 Mv1   Mv2     lamL     cs_(fb)   
 65.0    66.0    1.0    5.8080E+03 
 70.0    71.0    1.0    3.3475E+03 
 75.0    76.0    1.0    2.0299E+03 
 80.0    81.0    1.0    1.2901E+03 
 85.0    86.0    1.0    8.5537E+02 
 90.0    91.0    1.0    5.8922E+02 
 95.0    96.0    1.0    4.1918E+02 
 100.0    101.0    1.0    3.0747E+02 
 105.0    106.0    1.0    2.3166E+02 
 110.0    111.0    1.0    1.7844E+02 
 115.0    116.0    1.0    1.4019E+02 
 120.0    121.0    1.0    1.1209E+02 
 125.0    126.0    1.0    9.0962E+01 
 130.0    131.0    1.0    7.4640E+01 
 135.0    136.0    1.0    6.2088E+01 
 140.0    141.0    1.0    5.2136E+01 
 145.0    146.0    1.0    4.4160E+01 
 150.0    151.0    1.0    3.7648E+01 
 155.0    156.0    1.0    3.2355E+01 
 160.0    161.0    1.0    2.7942E+01 
 165.0    166.0    1.0    2.4283E+01 
 170.0    171.0    1.0    2.1187E+01 
 175.0    176.0    1.0    1.8584E+01 
 180.0    181.0    1.0    1.6368E+01 
 185.0    186.0    1.0    1.4457E+01 
 190.0    191.0    1.0    1.2834E+01 
 195.0    196.0    1.0    1.1417E+01 
 200.0    201.0    1.0    1.0179E+01 
 205.0    206.0    1.0    9.0952E+00 
 210.0    211.0    1.0    8.1606E+00 
 215.0    216.0    1.0    7.3368E+00 
 220.0    221.0    1.0    6.6022E+00 
 225.0    226.0    1.0    5.9648E+00 
 230.0    231.0    1.0    5.4004E+00 
 235.0    236.0    1.0    4.8895E+00 
 240.0    241.0    1.0    4.4415E+00 
 245.0    246.0    1.0    4.0367E+00 
 250.0    251.0    1.0    3.6742E+00 
 255.0    256.0    1.0    3.3548E+00 
 260.0    261.0    1.0    3.0662E+00 
 265.0    266.0    1.0    2.8047E+00 
 270.0    271.0    1.0    2.5705E+00 
 275.0    276.0    1.0    2.3547E+00 
 280.0    281.0    1.0    2.1651E+00 
 285.0    286.0    1.0    1.9932E+00 
 290.0    291.0    1.0    1.8339E+00 
 295.0    296.0    1.0    1.6912E+00 
 300.0    301.0    1.0    1.5613E+00 
 305.0    306.0    1.0    1.4425E+00 
 310.0    311.0    1.0    1.3317E+00 
 315.0    316.0    1.0    1.2343E+00 
 320.0    321.0    1.0    1.1436E+00 
 325.0    326.0    1.0    1.0606E+00 
 330.0    331.0    1.0    9.8351E-01 
 335.0    336.0    1.0    9.1407E-01 
 340.0    341.0    1.0    8.5073E-01 
 345.0    346.0    1.0    7.9037E-01 
 350.0    351.0    1.0    7.3586E-01 
 355.0    356.0    1.0    6.8636E-01 
 360.0    361.0    1.0    6.4010E-01 
 365.0    366.0    1.0    5.9723E-01 
 370.0    371.0    1.0    5.5800E-01 
 375.0    376.0    1.0    5.2142E-01 
 380.0    381.0    1.0    4.8761E-01 
 385.0    386.0    1.0    4.5600E-01 
 390.0    391.0    1.0    4.2677E-01 
 395.0    396.0    1.0    4.0005E-01 
 400.0    401.0    1.0    3.7504E-01 
 405.0    406.0    1.0    3.5153E-01 
 410.0    411.0    1.0    3.3009E-01 
 415.0    416.0    1.0    3.1007E-01 
 420.0    421.0    1.0    2.9162E-01 
 425.0    426.0    1.0    2.7409E-01 
 430.0    431.0    1.0    2.5787E-01 
 435.0    436.0    1.0    2.4246E-01 
 440.0    441.0    1.0    2.2825E-01 
 445.0    446.0    1.0    2.1509E-01 
 450.0    451.0    1.0    2.0270E-01 
 455.0    456.0    1.0    1.9128E-01 
 460.0    461.0    1.0    1.8013E-01 
 465.0    466.0    1.0    1.6999E-01 
 470.0    471.0    1.0    1.6056E-01 
 475.0    476.0    1.0    1.5172E-01 
 480.0    481.0    1.0    1.4334E-01 
 485.0    486.0    1.0    1.3553E-01 
 490.0    491.0    1.0    1.2816E-01 
 495.0    496.0    1.0    1.2118E-01 
 500.0    501.0    1.0    1.1470E-01 
 505.0    506.0    1.0    1.0865E-01 
 510.0    511.0    1.0    1.0279E-01 
 515.0    516.0    1.0    9.7386E-02 
 520.0    521.0    1.0    9.2299E-02 
 525.0    526.0    1.0    8.7572E-02 
 530.0    531.0    1.0    8.2989E-02 
 535.0    536.0    1.0    7.8736E-02 
 540.0    541.0    1.0    7.4724E-02 
 545.0    546.0    1.0    7.0954E-02 
 550.0    551.0    1.0    6.7417E-02 
 555.0    556.0    1.0    6.4065E-02 
 560.0    561.0    1.0    6.0962E-02 
 565.0    566.0    1.0    5.8078E-02 
 570.0    571.0    1.0    5.5255E-02 
 575.0    576.0    1.0    5.2625E-02 
 580.0    581.0    1.0    5.0206E-02 
 585.0    586.0    1.0    4.7851E-02 
 590.0    591.0    1.0    4.5645E-02 
 595.0    596.0    1.0    4.3658E-02 
 600.0    601.0    1.0    4.1707E-02 
 605.0    606.0    1.0    3.9903E-02 
 610.0    611.0    1.0    3.8172E-02 
 615.0    616.0    1.0    3.6545E-02 
 620.0    621.0    1.0    3.5010E-02 
 625.0    626.0    1.0    3.3578E-02 
 630.0    631.0    1.0    3.2238E-02 
 635.0    636.0    1.0    3.0934E-02 
 640.0    641.0    1.0    2.9757E-02 
 645.0    646.0    1.0    2.8553E-02 
 650.0    651.0    1.0    2.7492E-02 
 655.0    656.0    1.0    2.6473E-02 
 660.0    661.0    1.0    2.5477E-02 
 665.0    666.0    1.0    2.4566E-02 
 670.0    671.0    1.0    2.3687E-02 
 675.0    676.0    1.0    2.2874E-02 
 680.0    681.0    1.0    2.2073E-02 
 685.0    686.0    1.0    2.1278E-02 
 690.0    691.0    1.0    2.0572E-02 
 695.0    696.0    1.0    1.9889E-02 
 700.0    701.0    1.0    1.9229E-02 
 705.0    706.0    1.0    1.8609E-02 
 710.0    711.0    1.0    1.8009E-02 
 715.0    716.0    1.0    1.7413E-02 
 720.0    721.0    1.0    1.6875E-02 
 725.0    726.0    1.0    1.6344E-02 
 730.0    731.0    1.0    1.5822E-02 
 735.0    736.0    1.0    1.5344E-02 
 740.0    741.0    1.0    1.4874E-02 
 745.0    746.0    1.0    1.4419E-02 
 750.0    751.0    1.0    1.3987E-02 
 755.0    756.0    1.0    1.3563E-02 
 760.0    761.0    1.0    1.3166E-02 
 765.0    766.0    1.0    1.2767E-02 
 770.0    771.0    1.0    1.2374E-02 
 775.0    776.0    1.0    1.1994E-02 
 780.0    781.0    1.0    1.1651E-02 
 785.0    786.0    1.0    1.1305E-02 
 790.0    791.0    1.0    1.0966E-02 
 795.0    796.0    1.0    1.0644E-02 
 800.0    801.0    1.0    1.0319E-02 
 805.0    806.0    1.0    1.0020E-02 
 810.0    811.0    1.0    9.7214E-03 
 815.0    816.0    1.0    9.4273E-03 
 820.0    821.0    1.0    9.1511E-03 
 825.0    826.0    1.0    8.8698E-03 
 830.0    831.0    1.0    8.5985E-03 
 835.0    836.0    1.0    8.3428E-03 
 840.0    841.0    1.0    8.0846E-03 
 845.0    846.0    1.0    7.8353E-03 
 850.0    851.0    1.0    7.6033E-03 
 855.0    856.0    1.0    7.3663E-03 
 860.0    861.0    1.0    7.1353E-03 
 865.0    866.0    1.0    6.9129E-03 
 870.0    871.0    1.0    6.7064E-03 
 875.0    876.0    1.0    6.4888E-03 
 880.0    881.0    1.0    6.2851E-03 
 885.0    886.0    1.0    6.0889E-03 
 890.0    891.0    1.0    5.8909E-03 
 895.0    896.0    1.0    5.7042E-03 
 900.0    901.0    1.0    5.5184E-03 
 905.0    906.0    1.0    5.3421E-03 
 910.0    911.0    1.0    5.1638E-03 
 915.0    916.0    1.0    4.9978E-03 
 920.0    921.0    1.0    4.8284E-03 
 925.0    926.0    1.0    4.6725E-03 
 930.0    931.0    1.0    4.5149E-03 
 935.0    936.0    1.0    4.3631E-03 
 940.0    941.0    1.0    4.2144E-03 
 945.0    946.0    1.0    4.0739E-03 
 950.0    951.0    1.0    3.9325E-03 
 955.0    956.0    1.0    3.7987E-03 
 960.0    961.0    1.0    3.6641E-03 
 965.0    966.0    1.0    3.5383E-03 
 970.0    971.0    1.0    3.4166E-03 
 975.0    976.0    1.0    3.2963E-03 
 980.0    981.0    1.0    3.1820E-03 
 985.0    986.0    1.0    3.0667E-03 
 990.0    991.0    1.0    2.9565E-03 
 995.0    996.0    1.0    2.8523E-03 
 1000.0    1001.0    1.0    2.7499E-03 
