 Mv1   lamL      cs_(fb)   
 65.0    1.0    1.8318E+03 
 70.0    1.0    1.1309E+03 
 75.0    1.0    7.8178E+02 
 80.0    1.0    5.6449E+02 
 85.0    1.0    4.1836E+02 
 90.0    1.0    3.1743E+02 
 95.0    1.0    2.4410E+02 
 100.0    1.0    1.9067E+02 
 105.0    1.0    1.5065E+02 
 110.0    1.0    1.2041E+02 
 115.0    1.0    9.7148E+01 
 120.0    1.0    7.9066E+01 
 125.0    1.0    6.4821E+01 
 130.0    1.0    5.3675E+01 
 135.0    1.0    4.4530E+01 
 140.0    1.0    3.7274E+01 
 145.0    1.0    3.1415E+01 
 150.0    1.0    2.6590E+01 
 155.0    1.0    2.2612E+01 
 160.0    1.0    1.9300E+01 
 165.0    1.0    1.6582E+01 
 170.0    1.0    1.4328E+01 
 175.0    1.0    1.2367E+01 
 180.0    1.0    1.0733E+01 
 185.0    1.0    9.3352E+00 
 190.0    1.0    8.1499E+00 
 195.0    1.0    7.1560E+00 
 200.0    1.0    6.2862E+00 
 205.0    1.0    5.5420E+00 
 210.0    1.0    4.8964E+00 
 215.0    1.0    4.3340E+00 
 220.0    1.0    3.8548E+00 
 225.0    1.0    3.4288E+00 
 230.0    1.0    3.0584E+00 
 235.0    1.0    2.7327E+00 
 240.0    1.0    2.4472E+00 
 245.0    1.0    2.1976E+00 
 250.0    1.0    1.9743E+00 
 255.0    1.0    1.7786E+00 
 260.0    1.0    1.6032E+00 
 265.0    1.0    1.4501E+00 
 270.0    1.0    1.3116E+00 
 275.0    1.0    1.1876E+00 
 280.0    1.0    1.0784E+00 
 285.0    1.0    9.8153E-01 
 290.0    1.0    8.9061E-01 
 295.0    1.0    8.1377E-01 
 300.0    1.0    7.4180E-01 
 305.0    1.0    6.7764E-01 
 310.0    1.0    6.1959E-01 
 315.0    1.0    5.6733E-01 
 320.0    1.0    5.2156E-01 
 325.0    1.0    4.7768E-01 
 330.0    1.0    4.3908E-01 
 335.0    1.0    4.0408E-01 
 340.0    1.0    3.7111E-01 
 345.0    1.0    3.4221E-01 
 350.0    1.0    3.1563E-01 
 355.0    1.0    2.9101E-01 
 360.0    1.0    2.6873E-01 
 365.0    1.0    2.4887E-01 
 370.0    1.0    2.3027E-01 
 375.0    1.0    2.1306E-01 
 380.0    1.0    1.9761E-01 
 385.0    1.0    1.8343E-01 
 390.0    1.0    1.7006E-01 
 395.0    1.0    1.5838E-01 
 400.0    1.0    1.4708E-01 
 405.0    1.0    1.3697E-01 
 410.0    1.0    1.2724E-01 
 415.0    1.0    1.1857E-01 
 420.0    1.0    1.1058E-01 
 425.0    1.0    1.0309E-01 
 430.0    1.0    9.6202E-02 
 435.0    1.0    8.9918E-02 
 440.0    1.0    8.4070E-02 
 445.0    1.0    7.8620E-02 
 450.0    1.0    7.3617E-02 
 455.0    1.0    6.8784E-02 
 460.0    1.0    6.4425E-02 
 465.0    1.0    6.0400E-02 
 470.0    1.0    5.6714E-02 
 475.0    1.0    5.3162E-02 
 480.0    1.0    4.9779E-02 
 485.0    1.0    4.6756E-02 
 490.0    1.0    4.3891E-02 
 495.0    1.0    4.1294E-02 
 500.0    1.0    3.8854E-02 
 505.0    1.0    3.6403E-02 
 510.0    1.0    3.4412E-02 
 515.0    1.0    3.2320E-02 
 520.0    1.0    3.0464E-02 
 525.0    1.0    2.8703E-02 
 530.0    1.0    2.7034E-02 
 535.0    1.0    2.5524E-02 
 540.0    1.0    2.4090E-02 
 545.0    1.0    2.2719E-02 
 550.0    1.0    2.1424E-02 
 555.0    1.0    2.0273E-02 
 560.0    1.0    1.9107E-02 
 565.0    1.0    1.8080E-02 
 570.0    1.0    1.7097E-02 
 575.0    1.0    1.6191E-02 
 580.0    1.0    1.5304E-02 
 585.0    1.0    1.4480E-02 
 590.0    1.0    1.3698E-02 
 595.0    1.0    1.2976E-02 
 600.0    1.0    1.2295E-02 
 605.0    1.0    1.1661E-02 
 610.0    1.0    1.1052E-02 
 615.0    1.0    1.0451E-02 
 620.0    1.0    9.9114E-03 
 625.0    1.0    9.4137E-03 
 630.0    1.0    8.9362E-03 
 635.0    1.0    8.4954E-03 
 640.0    1.0    8.0599E-03 
 645.0    1.0    7.6449E-03 
 650.0    1.0    7.2752E-03 
 655.0    1.0    6.9027E-03 
 660.0    1.0    6.5680E-03 
 665.0    1.0    6.2404E-03 
 670.0    1.0    5.9344E-03 
 675.0    1.0    5.6481E-03 
 680.0    1.0    5.3724E-03 
 685.0    1.0    5.1208E-03 
 690.0    1.0    4.8661E-03 
 695.0    1.0    4.6333E-03 
 700.0    1.0    4.4008E-03 
 705.0    1.0    4.2122E-03 
 710.0    1.0    4.0052E-03 
 715.0    1.0    3.8172E-03 
 720.0    1.0    3.6433E-03 
 725.0    1.0    3.4713E-03 
 730.0    1.0    3.3147E-03 
 735.0    1.0    3.1612E-03 
 740.0    1.0    3.0094E-03 
 745.0    1.0    2.8772E-03 
